"","id","unique_id","date","species","rlc_time","treatment","temp","nitrate","salinity","plant_id","n_g_m3_2d","p_g_m3_2d","treat_letter","run_combo","rlc_end_time","rlc_day","rlc_order","f0","fm","f","fm_prime","fv_fm","delta_npq","pmax","retr_max","retr_max_ypoint1","npq_max","alpha_est","alpha_se","alpha_t","alpha_pvalue","ek_est","ek_se","ek_t","ek_pvalue","lunar_phase","illumination"
"11","hm2-3","9/20/21_hm2-3",2021-09-20,"h",09:04:08,3,30,53,18,2,6.4,0.41,"e",1,09:08:10,1,2,84,225,84,225,0.627,0.906,97.11,98.4,98.4,0.8,0.654,NA,14.63,0,148.5,NA,6.38,0.001,"Full",0.989670288919469
"12","hm2-4","9/20/21_hm2-4",2021-09-20,"h",09:08:41,4,30,80,11,2,9.7,0.94,"f",1,09:12:43,1,2,101,275,101,275,0.633,1.024,82.66,90.2,90.2,0.923,0.707,NA,21.49,0,116.8,NA,10.29,0,"Full",0.989670288919469
"13","ul2-1","9/20/21_ul2-1",2021-09-20,"u",09:13:07,1,30,14,35,2,1.7,0.001,"b",1,09:17:09,1,2,178,837,178,837,0.787,1.142,78.82,77.81,77.81,0.74,0.711,NA,18.25,0,110.9,NA,8.92,0,"Full",0.989670288919469
"14","ul2-2","9/20/21_ul2-2",2021-09-20,"u",09:17:56,2,30,27,28,2,3.3,0.037,"c",1,09:21:58,1,2,118,430,118,430,0.726,0.98,79.28,78.54,78.54,0.706,0.681,NA,21.4,0,116.4,NA,10.26,0,"Full",0.989670288919469
"15","ul2-3","9/20/21_ul2-3",2021-09-20,"u",09:22:20,3,30,53,18,2,6.4,0.41,"e",1,09:26:23,1,2,161,727,161,727,0.779,1.291,83.77,78.96,78.96,0.869,0.6,NA,21.5,0,139.6,NA,9.61,0,"Full",0.989670288919469
"16","ul2-4","9/20/21_ul2-4",2021-09-20,"u",09:26:51,4,30,80,11,2,9.7,0.94,"f",1,09:30:54,1,2,147,680,147,680,0.784,0.767,89.52,85.26,85.26,0.823,0.647,NA,27.37,0,138.4,NA,12.27,0,"Full",0.989670288919469
"17","hm3-1","9/20/21_hm3-1",2021-09-20,"h",09:31:16,1,27,14,35,3,1.7,0.001,"b",1,09:35:19,1,3,154,371,154,371,0.585,0.99,42.88,53.3,47.46,0.819,0.814,NA,21.61,0,52.7,NA,14.42,0,"Full",0.989670288919469
"18","hm3-2","9/20/21_hm3-2",2021-09-20,"h",09:35:51,2,27,27,28,3,3.3,0.037,"c",1,09:39:53,1,3,134,279,134,279,0.52,1.082,43.54,64.78,42.84,0.681,0.641,NA,12.55,0,67.9,NA,7.52,0,"Full",0.989670288919469
"19","hm3-3","9/20/21_hm3-3",2021-09-20,"h",09:40:16,3,27,53,18,3,6.4,0.41,"e",1,09:44:18,1,3,130,234,130,234,0.444,0.994,32.62,36.08,31.35,0.436,0.44,NA,11.16,0,74.1,NA,6.44,0.001,"Full",0.989670288919469
"20","hm3-4","9/20/21_hm3-4",2021-09-20,"h",09:44:50,4,27,80,11,3,9.7,0.94,"f",1,09:48:52,1,3,81,208,81,208,0.611,1.237,57.17,88.56,88.56,0.874,0.597,NA,12.61,0,95.7,NA,6.54,0.001,"Full",0.989670288919469
"21","ul3-1","9/20/21_ul3-1",2021-09-20,"u",09:49:27,1,27,14,35,3,1.7,0.001,"b",1,09:53:30,1,3,202,802,202,802,0.748,0.553,64.53,62.7,62.7,0.971,0.586,NA,27.38,0,110.1,NA,13.42,0,"Full",0.989670288919469
"22","ul3-2","9/20/21_ul3-2",2021-09-20,"u",09:53:57,2,27,27,28,3,3.3,0.037,"c",1,09:57:59,1,3,228,975,228,975,0.766,0.737,62.68,62.16,62.16,0.809,0.63,NA,26.27,0,99.5,NA,13.42,0,"Full",0.989670288919469
"23","ul3-3","9/20/21_ul3-3",2021-09-20,"u",09:58:34,3,27,53,18,3,6.4,0.41,"e",1,10:02:36,1,3,209,927,209,927,0.775,1.544,85.16,82.32,82.32,0.947,0.568,NA,26.75,0,150,NA,11.62,0,"Full",0.989670288919469
"24","ul3-4","9/20/21_ul3-4",2021-09-20,"u",10:03:03,4,27,80,11,3,9.7,0.94,"f",1,10:07:05,1,3,213,822,213,822,0.741,0.653,62.27,60.42,60.42,0.839,0.576,NA,20.42,0,108.1,NA,10.09,0,"Full",0.989670288919469
"25","hm4-1","9/20/21_hm4-1",2021-09-20,"h",10:07:32,1,27,14,35,4,1.7,0.001,"b",1,10:11:34,1,4,129,285,129,285,0.547,1.131,53.06,60.68,52.73,0.717,0.772,NA,17.71,0,68.8,NA,10.56,0,"Full",0.989670288919469
"26","hm4-2","9/20/21_hm4-2",2021-09-20,"h",10:12:49,2,27,27,28,4,3.3,0.037,"c",1,10:16:51,1,4,119,287,119,287,0.585,1.267,85.33,90,90,0.442,0.695,NA,25.45,0,122.8,NA,11.95,0,"Full",0.989670288919469
"27","hm4-3","9/20/21_hm4-3",2021-09-20,"h",10:17:54,3,27,53,18,4,6.4,0.41,"e",1,10:21:56,1,4,83,219,83,219,0.621,1.142,130.14,123,123,0.938,0.671,NA,24.38,0,193.9,NA,9.61,0,"Full",0.989670288919469
"28","hm4-4","9/20/21_hm4-4",2021-09-20,"h",10:22:23,4,27,80,11,4,9.7,0.94,"f",1,10:26:25,1,4,107,275,107,275,0.611,1.078,105.7,120.54,120.54,0.833,0.632,NA,26.06,0,167.3,NA,10.86,0,"Full",0.989670288919469
"29","ul4-1","9/20/21_ul4-1",2021-09-20,"u",10:27:00,1,27,14,35,4,1.7,0.001,"b",1,10:31:02,1,4,227,590,227,590,0.615,0.4,60.41,57.4,56.28,0.879,0.395,NA,28.63,0,153,NA,12.35,0,"Full",0.989670288919469
"30","ul4-2","9/20/21_ul4-2",2021-09-20,"u",10:32:19,2,27,27,28,4,3.3,0.037,"c",1,10:36:21,1,4,258,902,258,902,0.714,0.439,56.21,55.02,55.02,1.009,0.524,NA,31,0,107.3,NA,15.36,0,"Full",0.989670288919469
"31","ul4-3","9/20/21_ul4-3",2021-09-20,"u",10:36:52,3,27,53,18,4,6.4,0.41,"e",1,10:40:55,1,4,226,926,226,926,0.756,0.538,77.95,74.34,74.34,1.044,0.541,NA,24.74,0,144.1,NA,10.92,0,"Full",0.989670288919469
"32","ul4-4","9/20/21_ul4-4",2021-09-20,"u",10:41:23,4,27,80,11,4,9.7,0.94,"f",1,10:45:25,1,4,198,843,198,843,0.765,1.093,109.72,94.5,94.5,1.113,0.519,NA,28.94,0,211.5,NA,11.02,0,"Full",0.989670288919469
"33","hm5-1","9/20/21_hm5-1",2021-09-20,"h",10:45:51,1,20,14,35,5,1.7,0.001,"b",1,10:49:53,1,5,104,245,104,245,0.576,1.021,53.26,60.68,55.44,0.623,0.684,NA,28.7,0,77.9,NA,16.22,0,"Full",0.989670288919469
"34","hm5-2","9/20/21_hm5-2",2021-09-20,"h",10:50:19,2,20,27,28,5,3.3,0.037,"c",1,10:54:22,1,5,114,233,114,233,0.511,1.339,70.05,77.08,70.98,0.456,0.631,NA,44.28,0,111,NA,21.64,0,"Full",0.989670288919469
"35","hm5-3","9/20/21_hm5-3",2021-09-20,"h",10:54:57,3,20,53,18,5,6.4,0.41,"e",1,10:58:59,1,5,90,172,90,172,0.477,0.871,65.12,96.76,96.76,0.578,0.435,NA,15,0,149.6,NA,6.52,0.001,"Full",0.989670288919469
"36","hm5-4","9/20/21_hm5-4",2021-09-20,"h",11:00:19,4,20,80,11,5,9.7,0.94,"f",1,11:04:22,1,5,108,260,108,260,0.585,0.868,81.58,91.02,91.02,0.615,0.602,NA,39.75,0,135.6,NA,17.96,0,"Full",0.989670288919469
"37","ul5-1","9/20/21_ul5-1",2021-09-20,"u",11:06:05,1,20,14,35,5,1.7,0.001,"b",1,11:10:07,1,5,116,377,116,377,0.692,0.732,85.93,81.18,78.54,0.995,0.552,NA,26.43,0,155.7,NA,11.33,0,"Full",0.989670288919469
"38","ul5-2","9/20/21_ul5-2",2021-09-20,"u",11:11:04,2,20,27,28,5,3.3,0.037,"c",1,11:15:07,1,5,227,725,227,725,0.687,0.631,57.43,56.15,56.15,0.822,0.544,NA,20.86,0,105.6,NA,10.4,0,"Full",0.989670288919469
"39","ul5-3","9/20/21_ul5-3",2021-09-20,"u",11:16:04,3,20,53,18,5,6.4,0.41,"e",1,11:20:07,1,5,159,511,159,511,0.689,1.003,93.2,83.58,83.58,0.914,0.486,NA,20.13,0,191.9,NA,7.96,0,"Full",0.989670288919469
"40","ul5-4","9/20/21_ul5-4",2021-09-20,"u",11:20:39,4,20,80,11,5,9.7,0.94,"f",1,11:24:41,1,5,124,374,124,374,0.668,0.968,82.46,85.28,85.28,0.87,0.476,NA,34.2,0,173.3,NA,14.07,0,"Full",0.989670288919469
"41","hm6-1","9/20/21_hm6-1",2021-09-20,"h",11:25:14,1,20,14,35,6,1.7,0.001,"b",1,11:29:17,1,6,87,245,87,245,0.645,1.118,131.79,137.76,137.76,0.96,0.712,NA,33.77,0,185.1,NA,13.54,0,"Full",0.989670288919469
"42","hm6-2","9/20/21_hm6-2",2021-09-20,"h",11:29:57,2,20,27,28,6,3.3,0.037,"c",1,11:33:59,1,6,84,215,84,215,0.609,1.211,122.7,110.88,110.88,0.87,0.73,NA,21.13,0,168,NA,8.79,0,"Full",0.989670288919469
"43","hm6-3","9/20/21_hm6-3",2021-09-20,"h",11:34:39,3,20,53,18,6,6.4,0.41,"e",1,11:38:41,1,6,119,302,119,302,0.606,0.823,68.77,76.26,63.84,0.83,0.682,NA,21.57,0,100.9,NA,10.96,0,"Full",0.989670288919469
"44","hm6-4","9/20/21_hm6-4",2021-09-20,"h",11:39:37,4,20,80,11,6,9.7,0.94,"f",1,11:43:39,1,6,98,280,98,280,0.65,1.133,87.96,83.22,83.22,1.029,0.75,NA,24.1,0,117.3,NA,11.52,0,"Full",0.989670288919469
"45","ul6-1","9/20/21_ul6-1",2021-09-20,"u",11:44:03,1,20,14,35,6,1.7,0.001,"b",1,11:48:05,1,6,183,625,183,625,0.707,1.529,92.23,86.1,86.1,0.99,0.53,NA,32.07,0,174,NA,13.17,0,"Full",0.989670288919469
"46","ul6-2","9/20/21_ul6-2",2021-09-20,"u",11:48:45,2,20,27,28,6,3.3,0.037,"c",1,11:52:47,1,6,246,720,246,720,0.658,1.759,65.14,61.32,61.32,0.809,0.498,NA,21.81,0,130.7,NA,9.99,0,"Full",0.989670288919469
"47","ul6-3","9/20/21_ul6-3",2021-09-20,"u",11:53:26,3,20,53,18,6,6.4,0.41,"e",1,11:57:29,1,6,102,348,102,348,0.707,0.7,110.13,99.12,99.12,0.989,0.56,NA,28.53,0,196.6,NA,11.18,0,"Full",0.989670288919469
"48","ul6-4","9/20/21_ul6-4",2021-09-20,"u",11:58:01,4,20,80,11,6,9.7,0.94,"f",1,12:02:04,1,6,165,563,165,563,0.707,1.187,96.65,82,81.9,1.157,0.473,NA,23.52,0,204.3,NA,9.08,0,"Full",0.989670288919469
"49","hm1-1","9/21/21_hm1-1",2021-09-21,"h",08:21:26,1,20,14,35,7,1.7,0.001,"b",1,08:25:28,1,1,108,299,108,299,0.639,0,103.31,108.24,108.24,0.98,0.767,NA,49.68,0,134.6,NA,22.51,0,"Full",0.998052381324447
"50","hm1-2","9/21/21_hm1-2",2021-09-21,"h",08:26:07,2,20,27,28,7,3.3,0.037,"c",1,08:30:10,1,1,141,410,141,410,0.656,0,53.63,54.12,53.2,1.03,1.036,NA,27.21,0,51.8,NA,18.28,0,"Full",0.998052381324447
"51","hm1-3","9/21/21_hm1-3",2021-09-21,"h",08:30:34,3,20,53,18,7,6.4,0.41,"e",1,08:34:36,1,1,111,305,111,305,0.636,0,94.02,105.78,105.78,0.723,0.689,NA,32.32,0,136.4,NA,14.57,0,"Full",0.998052381324447
"52","hm1-4","9/21/21_hm1-4",2021-09-21,"h",08:35:02,4,20,80,11,7,9.7,0.94,"f",1,08:39:04,1,1,107,267,107,267,0.599,0,82.79,92.66,92.66,0.679,0.555,NA,36.38,0,149.3,NA,15.84,0,"Full",0.998052381324447
"53","ul1-1","9/21/21_ul1-1",2021-09-21,"u",08:39:27,1,20,14,35,7,1.7,0.001,"b",1,08:43:29,1,1,187,803,187,803,0.767,0,97.66,91.14,91.14,0.649,0.592,NA,36.21,0,165,NA,15.17,0,"Full",0.998052381324447
"54","ul1-2","9/21/21_ul1-2",2021-09-21,"u",08:44:05,2,20,27,28,7,3.3,0.037,"c",1,08:48:07,1,1,171,884,171,884,0.807,0,93.23,89.46,89.46,0.649,0.662,NA,47.93,0,140.8,NA,21.34,0,"Full",0.998052381324447
"55","ul1-3","9/21/21_ul1-3",2021-09-21,"u",08:48:23,3,20,53,18,7,6.4,0.41,"e",1,08:52:25,1,1,207,699,207,699,0.704,0,65.97,61.56,61.56,0.717,0.492,NA,23.63,0,134.2,NA,10.72,0,"Full",0.998052381324447
"56","ul1-4","9/21/21_ul1-4",2021-09-21,"u",08:53:00,4,20,80,11,7,9.7,0.94,"f",1,08:57:03,1,1,177,801,177,801,0.779,0,99.72,92.4,92.4,0.726,0.613,NA,43.14,0,162.6,NA,18.18,0,"Full",0.998052381324447
"57","hm2-1","9/21/21_hm2-1",2021-09-21,"h",08:57:45,1,20,14,35,8,1.7,0.001,"b",1,09:01:47,1,2,111,245,111,245,0.547,0,80.33,89.38,89.38,0.4,0.561,NA,43.63,0,143.1,NA,19.31,0,"Full",0.998052381324447
"58","hm2-2","9/21/21_hm2-2",2021-09-21,"h",09:02:22,2,20,27,28,8,3.3,0.037,"c",1,09:06:25,1,2,148,376,148,376,0.606,0,52.92,67.24,55.02,0.765,0.762,NA,23.12,0,69.5,NA,13.71,0,"Full",0.998052381324447
"59","hm2-3","9/21/21_hm2-3",2021-09-21,"h",09:07:00,3,20,53,18,8,6.4,0.41,"e",1,09:11:02,1,2,95,217,95,217,0.562,0,59.23,79.54,57.96,0.497,0.67,NA,14.15,0,88.3,NA,7.59,0,"Full",0.998052381324447
"60","hm2-4","9/21/21_hm2-4",2021-09-21,"h",09:11:56,4,20,80,11,8,9.7,0.94,"f",1,09:15:59,1,2,68,173,68,173,0.607,0,117.78,118.08,118.08,0.784,0.717,NA,17.37,0,164.3,NA,7.29,0,"Full",0.998052381324447
"61","ul2-1","9/21/21_ul2-1",2021-09-21,"u",09:16:32,1,20,14,35,8,1.7,0.001,"b",1,09:20:34,1,2,253,841,253,841,0.699,0,51.63,52.44,52.44,0.438,0.572,NA,16.81,0,90.2,NA,8.94,0,"Full",0.998052381324447
"62","ul2-2","9/21/21_ul2-2",2021-09-21,"u",09:21:32,2,20,27,28,8,3.3,0.037,"c",1,09:25:34,1,2,135,359,135,359,0.624,0,49.37,49.02,49.02,0.76,0.569,NA,13.78,0,86.8,NA,7.45,0,"Full",0.998052381324447
"63","ul2-3","9/21/21_ul2-3",2021-09-21,"u",09:26:05,3,20,53,18,8,6.4,0.41,"e",1,09:30:08,1,2,190,662,190,662,0.713,0,71.8,70.14,70.14,0.54,0.543,NA,23.19,0,132.2,NA,10.58,0,"Full",0.998052381324447
"64","ul2-4","9/21/21_ul2-4",2021-09-21,"u",09:30:29,4,20,80,11,8,9.7,0.94,"f",1,09:34:31,1,2,160,549,160,549,0.709,0,54.06,54.44,54.44,0.705,0.644,NA,12.41,0,83.9,NA,6.8,0,"Full",0.998052381324447
"65","hm3-1","9/21/21_hm3-1",2021-09-21,"h",09:34:50,1,27,14,35,9,1.7,0.001,"b",1,09:38:53,1,3,93,235,93,235,0.604,0,71.38,76.26,69.3,0.836,0.826,NA,21.53,0,86.4,NA,11.65,0,"Full",0.998052381324447
"66","hm3-2","9/21/21_hm3-2",2021-09-21,"h",09:40:48,2,27,27,28,9,3.3,0.037,"c",1,09:44:50,1,3,139,348,139,348,0.601,0,52.82,60,56.7,0.803,0.774,NA,21.41,0,68.2,NA,12.8,0,"Full",0.998052381324447
"67","hm3-3","9/21/21_hm3-3",2021-09-21,"h",09:45:11,3,27,53,18,9,6.4,0.41,"e",1,09:49:13,1,3,135,319,135,319,0.577,0,50.98,64.78,50.4,0.67,0.66,NA,21.67,0,77.2,NA,12.3,0,"Full",0.998052381324447
"68","hm3-4","9/21/21_hm3-4",2021-09-21,"h",09:49:41,4,27,80,11,9,9.7,0.94,"f",1,09:53:43,1,3,109,292,109,292,0.627,0,74.78,82.82,82.82,0.96,0.804,NA,22.7,0,93,NA,11.92,0,"Full",0.998052381324447
"69","ul3-1","9/21/21_ul3-1",2021-09-21,"u",09:54:10,1,27,14,35,9,1.7,0.001,"b",1,09:58:13,1,3,182,607,182,607,0.7,0,65.09,63.27,63.27,0.739,0.642,NA,20.97,0,101.5,NA,10.63,0,"Full",0.998052381324447
"70","ul3-2","9/21/21_ul3-2",2021-09-21,"u",09:59:02,2,27,27,28,9,3.3,0.037,"c",1,10:03:04,1,3,378,968,378,968,0.61,0,57.1,54.18,54.18,1.109,0.429,NA,25.94,0,133.2,NA,11.8,0,"Full",0.998052381324447
"71","ul3-3","9/21/21_ul3-3",2021-09-21,"u",10:03:26,3,27,53,18,9,6.4,0.41,"e",1,10:07:29,1,3,228,913,228,913,0.75,0,49.87,50.45,50.45,0.713,0.638,NA,17.85,0,78.1,NA,10.08,0,"Full",0.998052381324447
"72","ul3-4","9/21/21_ul3-4",2021-09-21,"u",10:08:03,4,27,80,11,9,9.7,0.94,"f",1,10:12:06,1,3,191,829,191,829,0.77,0,72.8,70.14,70.14,0.734,0.614,NA,22.62,0,118.6,NA,10.77,0,"Full",0.998052381324447
"73","hm4-1","9/21/21_hm4-1",2021-09-21,"h",10:12:35,1,27,14,35,10,1.7,0.001,"b",1,10:16:37,1,4,121,326,121,326,0.629,0,97.28,104.14,104.14,0.811,0.743,NA,38.82,0,130.8,NA,17.78,0,"Full",0.998052381324447
"74","hm4-2","9/21/21_hm4-2",2021-09-21,"h",10:17:55,2,27,27,28,10,3.3,0.037,"c",1,10:21:58,1,4,114,339,114,339,0.664,0,95.95,99.22,99.22,1.159,0.784,NA,32.07,0,122.3,NA,15.08,0,"Full",0.998052381324447
"75","hm4-3","9/21/21_hm4-3",2021-09-21,"h",10:22:24,3,27,53,18,10,6.4,0.41,"e",1,10:26:27,1,4,118,333,118,333,0.646,0,68.37,69.72,69.72,1.043,0.705,NA,21.47,0,97,NA,11.08,0,"Full",0.998052381324447
"76","hm4-4","9/21/21_hm4-4",2021-09-21,"h",10:27:06,4,27,80,11,10,9.7,0.94,"f",1,10:31:08,1,4,92,275,92,275,0.665,0,67.88,81.18,76.44,1.007,0.689,NA,16.61,0,98.5,NA,8.52,0,"Full",0.998052381324447
"77","ul4-1","9/21/21_ul4-1",2021-09-21,"u",10:31:27,1,27,14,35,10,1.7,0.001,"b",1,10:35:30,1,4,272,922,272,922,0.705,0,74.64,68.04,68.04,0.756,0.53,NA,22.52,0,140.9,NA,10.03,0,"Full",0.998052381324447
"78","ul4-2","9/21/21_ul4-2",2021-09-21,"u",10:36:04,2,27,27,28,10,3.3,0.037,"c",1,10:40:06,1,4,190,798,190,798,0.762,0,111.63,98.28,98.28,0.716,0.567,NA,25.59,0,197,NA,10.02,0,"Full",0.998052381324447
"79","ul4-3","9/21/21_ul4-3",2021-09-21,"u",10:40:36,3,27,53,18,10,6.4,0.41,"e",1,10:44:38,1,4,174,787,174,787,0.779,0,92.12,85.68,85.68,0.703,0.648,NA,22.96,0,142.2,NA,10.18,0,"Full",0.998052381324447
"80","ul4-4","9/21/21_ul4-4",2021-09-21,"u",10:44:57,4,27,80,11,10,9.7,0.94,"f",1,10:48:59,1,4,203,1060,203,1060,0.808,0,90.68,88.2,88.2,0.462,0.673,NA,37.9,0,134.7,NA,17.16,0,"Full",0.998052381324447
"81","hm5-1","9/21/21_hm5-1",2021-09-21,"h",10:49:17,1,30,14,35,11,1.7,0.001,"b",1,10:53:20,1,5,112,275,112,275,0.593,0,62.43,74.62,63.84,0.608,0.698,NA,23.04,0,89.5,NA,12.29,0,"Full",0.998052381324447
"82","hm5-2","9/21/21_hm5-2",2021-09-21,"h",10:54:42,2,30,27,28,11,3.3,0.037,"c",1,10:58:45,1,5,102,262,102,262,0.611,0,73.71,85.28,85.28,0.819,0.598,NA,36.76,0,123.2,NA,17.24,0,"Full",0.998052381324447
"83","hm5-3","9/21/21_hm5-3",2021-09-21,"h",10:59:24,3,30,53,18,11,6.4,0.41,"e",1,11:03:26,1,5,112,277,112,277,0.596,0,71.4,77.08,71.82,0.689,0.58,NA,12.06,0,123.2,NA,5.66,0.001,"Full",0.998052381324447
"84","hm5-4","9/21/21_hm5-4",2021-09-21,"h",11:03:57,4,30,80,11,11,9.7,0.94,"f",1,11:07:59,1,5,132,286,132,286,0.538,0,58.68,58.8,58.8,0.538,0.461,NA,27.12,0,127.1,NA,12.57,0,"Full",0.998052381324447
"85","ul5-1","9/21/21_ul5-1",2021-09-21,"u",11:08:16,1,30,14,35,11,1.7,0.001,"b",1,11:12:19,1,5,129,389,129,389,0.668,0,66.12,64.26,64.26,0.49,0.586,NA,33.41,0,112.8,NA,16.22,0,"Full",0.998052381324447
"86","ul5-2","9/21/21_ul5-2",2021-09-21,"u",11:12:39,2,30,27,28,11,3.3,0.037,"c",1,11:16:42,1,5,204,893,204,893,0.772,0,90.23,81.06,81.06,1.053,0.542,NA,22.56,0,166.6,NA,9.42,0,"Full",0.998052381324447
"87","ul5-3","9/21/21_ul5-3",2021-09-21,"u",11:17:13,3,30,53,18,11,6.4,0.41,"e",1,11:21:16,1,5,189,777,189,777,0.757,0,99.64,87.74,87.74,0.972,0.528,NA,25.67,0,188.6,NA,10.22,0,"Full",0.998052381324447
"88","ul5-4","9/21/21_ul5-4",2021-09-21,"u",11:21:38,4,30,80,11,11,9.7,0.94,"f",1,11:25:40,1,5,142,551,142,551,0.742,0,106.08,100.04,100.04,0.868,0.553,NA,31.81,0,191.8,NA,12.58,0,"Full",0.998052381324447
"89","hm6-1","9/21/21_hm6-1",2021-09-21,"h",11:25:58,1,30,14,35,12,1.7,0.001,"b",1,11:30:00,1,6,127,311,127,311,0.592,0,70.81,76.26,70.56,0.699,0.79,NA,48.39,0,89.6,NA,25.8,0,"Full",0.998052381324447
"90","hm6-2","9/21/21_hm6-2",2021-09-21,"h",11:30:34,2,30,27,28,12,3.3,0.037,"c",1,11:34:36,1,6,124,289,124,289,0.571,0,65.1,82.82,82.82,0.731,0.695,NA,17.94,0,93.7,NA,9.39,0,"Full",0.998052381324447
"91","hm6-3","9/21/21_hm6-3",2021-09-21,"h",11:35:30,3,30,53,18,12,6.4,0.41,"e",1,11:39:32,1,6,106,244,106,244,0.566,0,68.37,83.64,83.64,0.66,0.506,NA,24.38,0,135.2,NA,11.03,0,"Full",0.998052381324447
"92","hm6-4","9/21/21_hm6-4",2021-09-21,"h",11:40:09,4,30,80,11,12,9.7,0.94,"f",1,11:44:12,1,6,144,320,144,320,0.55,0,82.84,82.82,82.82,0.608,0.516,NA,36.22,0,160.4,NA,15.34,0,"Full",0.998052381324447
"93","ul6-1","9/21/21_ul6-1",2021-09-21,"u",11:44:42,1,30,14,35,12,1.7,0.001,"b",1,11:48:45,1,6,263,815,263,815,0.677,0,56.94,54.6,54.6,0.604,0.523,NA,32.36,0,108.9,NA,15.93,0,"Full",0.998052381324447
"94","ul6-2","9/21/21_ul6-2",2021-09-21,"u",11:49:06,2,30,27,28,12,3.3,0.037,"c",1,11:53:08,1,6,193,617,193,617,0.687,0,58.95,58.42,58.42,0.858,0.545,NA,17.58,0,108.2,NA,8.68,0,"Full",0.998052381324447
"95","ul6-3","9/21/21_ul6-3",2021-09-21,"u",11:53:30,3,30,53,18,12,6.4,0.41,"e",1,11:57:33,1,6,150,426,150,426,0.648,0,89.39,84.42,84.42,0.632,0.55,NA,30.93,0,162.4,NA,13.04,0,"Full",0.998052381324447
"96","ul6-4","9/21/21_ul6-4",2021-09-21,"u",11:57:52,4,30,80,11,12,9.7,0.94,"f",1,12:01:55,1,6,259,681,259,681,0.62,0,42.14,42.18,42.18,0.657,0.486,NA,17,0,86.8,NA,9.18,0,"Full",0.998052381324447
"97","hm2-1","9/24/21_hm2-1",2021-09-24,"h",08:17:59,1,30,14,35,2,1.7,0.001,"b",1,08:22:02,5,1,99,262,99,262,0.622,0,47.04,53.3,48.64,0.885,0.993,NA,17.85,0,47.4,NA,12.44,0,"Full",0.906757022687221
"98","hm2-2","9/24/21_hm2-2",2021-09-24,"h",08:22:26,2,30,27,28,2,3.3,0.037,"c",1,08:26:29,5,1,91,252,91,252,0.639,0,56.52,79.54,57.12,1.016,0.9,NA,18.7,0,62.8,NA,11.58,0,"Full",0.906757022687221
