#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Host Connected,End of File
1243,08/03/2024 00:00:00,25.748,,,,
75,08/04/2024 01:20:00,25.298,,
76,08/04/2024 01:30:00,25.276,,
77,08/04/2024 01:40:00,25.244,,
78,08/04/2024 01:50:00,25.212,,
79,08/04/2024 02:00:00,25.180,,
80,08/04/2024 02:10:00,25.148,,
81,08/04/2024 02:20:00,25.137,,
82,08/04/2024 02:30:00,25.094,,
83,08/04/2024 02:40:00,25.040,,
84,08/04/2024 02:50:00,24.997,,
85,08/04/2024 03:00:00,24.976,,
86,08/04/2024 03:10:00,24.933,,
87,08/04/2024 03:20:00,24.890,,
88,08/04/2024 03:30:00,24.858,,
89,08/04/2024 03:40:00,24.815,,
90,08/04/2024 03:50:00,24.794,,
91,08/04/2024 04:00:00,24.740,,
92,08/04/2024 04:10:00,24.719,,
93,08/04/2024 04:20:00,24.676,,
94,08/04/2024 04:30:00,24.654,,
95,08/04/2024 04:40:00,24.633,,
96,08/04/2024 04:50:00,24.611,,
97,08/04/2024 05:00:00,24.568,,
98,08/04/2024 05:10:00,24.547,,
99,08/04/2024 05:20:00,24.515,,
100,08/04/2024 05:30:00,24.504,,
101,08/04/2024 05:40:00,24.493,,
102,08/04/2024 05:50:00,24.440,,
103,08/04/2024 06:00:00,24.429,,
104,08/04/2024 06:10:00,24.408,,
105,08/04/2024 06:20:00,24.397,,
106,08/04/2024 06:30:00,24.375,,
107,08/04/2024 06:40:00,24.354,,
108,08/04/2024 06:50:00,24.332,,
109,08/04/2024 07:00:00,24.311,,
110,08/04/2024 07:10:00,24.300,,
111,08/04/2024 07:20:00,24.290,,
112,08/04/2024 07:30:00,24.290,,
113,08/04/2024 07:40:00,24.311,,
114,08/04/2024 07:50:00,24.322,,
115,08/04/2024 08:00:00,24.332,,
116,08/04/2024 08:10:00,24.343,,
117,08/04/2024 08:20:00,24.343,,
118,08/04/2024 08:30:00,24.418,,
119,08/04/2024 08:40:00,24.408,,
120,08/04/2024 08:50:00,24.440,,
121,08/04/2024 09:00:00,24.493,,
122,08/04/2024 09:10:00,24.536,,
123,08/04/2024 09:20:00,24.590,,
124,08/04/2024 09:30:00,24.601,,
125,08/04/2024 09:40:00,24.654,,
126,08/04/2024 09:50:00,24.686,,
127,08/04/2024 10:00:00,24.729,,
128,08/04/2024 10:10:00,24.804,,
129,08/04/2024 10:20:00,24.837,,
130,08/04/2024 10:30:00,24.933,,
131,08/04/2024 10:40:00,24.922,,
132,08/04/2024 10:50:00,25.030,,
133,08/04/2024 11:00:00,25.115,,
134,08/04/2024 11:10:00,25.223,,
135,08/04/2024 11:20:00,25.319,,
136,08/04/2024 11:30:00,25.373,,
137,08/04/2024 11:40:00,25.459,,
138,08/04/2024 11:50:00,25.609,,
139,08/04/2024 12:00:00,25.662,,
140,08/04/2024 12:10:00,25.802,,
141,08/04/2024 12:20:00,25.920,,
142,08/04/2024 12:30:00,26.059,,
143,08/04/2024 12:40:00,26.177,,
144,08/04/2024 12:50:00,26.327,,
145,08/04/2024 13:00:00,26.317,,
146,08/04/2024 13:10:00,26.402,,
147,08/04/2024 13:20:00,26.574,,
148,08/04/2024 13:30:00,26.692,,
149,08/04/2024 13:40:00,26.767,,
150,08/04/2024 13:50:00,26.885,,
151,08/04/2024 14:00:00,27.014,,
152,08/04/2024 14:10:00,27.121,,
153,08/04/2024 14:20:00,27.164,,
154,08/04/2024 14:30:00,27.250,,
155,08/04/2024 14:40:00,27.239,,
156,08/04/2024 14:50:00,27.389,,
157,08/04/2024 15:00:00,27.378,,
158,08/04/2024 15:10:00,27.336,,
159,08/04/2024 15:20:00,27.325,,
160,08/04/2024 15:30:00,27.314,,
161,08/04/2024 15:40:00,27.325,,
162,08/04/2024 15:50:00,27.400,,
163,08/04/2024 16:00:00,27.303,,
164,08/04/2024 16:10:00,27.346,,
165,08/04/2024 16:20:00,27.464,,
166,08/04/2024 16:30:00,27.486,,
167,08/04/2024 16:40:00,27.539,,
168,08/04/2024 16:50:00,27.593,,
169,08/04/2024 17:00:00,27.647,,
170,08/04/2024 17:10:00,27.668,,
171,08/04/2024 17:20:00,27.614,,
172,08/04/2024 17:30:00,27.689,,
173,08/04/2024 17:40:00,27.636,,
174,08/04/2024 17:50:00,27.550,,
175,08/04/2024 18:00:00,27.507,,
176,08/04/2024 18:10:00,27.453,,
177,08/04/2024 18:20:00,27.443,,
178,08/04/2024 18:30:00,27.378,,
179,08/04/2024 18:40:00,27.346,,
180,08/04/2024 18:50:00,27.293,,
181,08/04/2024 19:00:00,27.228,,
182,08/04/2024 19:10:00,27.175,,
183,08/04/2024 19:20:00,27.089,,
184,08/04/2024 19:30:00,27.035,,
185,08/04/2024 19:40:00,26.949,,
186,08/04/2024 19:50:00,26.896,,
187,08/04/2024 20:00:00,26.831,,
188,08/04/2024 20:10:00,26.756,,
189,08/04/2024 20:20:00,26.692,,
190,08/04/2024 20:30:00,26.649,,
191,08/04/2024 20:40:00,26.585,,
192,08/04/2024 20:50:00,26.542,,
193,08/04/2024 21:00:00,26.467,,
194,08/04/2024 21:10:00,26.424,,
195,08/04/2024 21:20:00,26.360,,
196,08/04/2024 21:30:00,26.327,,
197,08/04/2024 21:40:00,26.274,,
198,08/04/2024 21:50:00,26.263,,
199,08/04/2024 22:00:00,26.199,,
200,08/04/2024 22:10:00,26.156,,
201,08/04/2024 22:20:00,26.113,,
202,08/04/2024 22:30:00,26.070,,
203,08/04/2024 22:40:00,26.016,,
204,08/04/2024 22:50:00,25.973,,
205,08/04/2024 23:00:00,25.941,,
206,08/04/2024 23:10:00,25.888,,
207,08/04/2024 23:20:00,25.802,,
208,08/04/2024 23:30:00,25.770,,
209,08/04/2024 23:40:00,25.759,,
210,08/04/2024 23:50:00,25.716,,
211,08/05/2024 00:00:00,25.652,,
212,08/05/2024 00:10:00,25.609,,
213,08/05/2024 00:20:00,25.566,,
214,08/05/2024 00:30:00,25.534,,
215,08/05/2024 00:40:00,25.491,,
216,08/05/2024 00:50:00,25.448,,
217,08/05/2024 01:00:00,25.394,,
218,08/05/2024 01:10:00,25.351,,
219,08/05/2024 01:20:00,25.319,,
220,08/05/2024 01:30:00,25.298,,
221,08/05/2024 01:40:00,25.266,,
222,08/05/2024 01:50:00,25.190,,
223,08/05/2024 02:00:00,25.190,,
224,08/05/2024 02:10:00,25.126,,
225,08/05/2024 02:20:00,25.094,,
226,08/05/2024 02:30:00,25.051,,
227,08/05/2024 02:40:00,24.997,,
228,08/05/2024 02:50:00,24.965,,
229,08/05/2024 03:00:00,24.912,,
230,08/05/2024 03:10:00,24.869,,
231,08/05/2024 03:20:00,24.815,,
232,08/05/2024 03:30:00,24.751,,
233,08/05/2024 03:40:00,24.708,,
234,08/05/2024 03:50:00,24.654,,
235,08/05/2024 04:00:00,24.601,,
236,08/05/2024 04:10:00,24.547,,
237,08/05/2024 04:20:00,24.515,,
238,08/05/2024 04:30:00,24.461,,
239,08/05/2024 04:40:00,24.408,,
240,08/05/2024 04:50:00,24.375,,
241,08/05/2024 05:00:00,24.311,,
242,08/05/2024 05:10:00,24.247,,
243,08/05/2024 05:20:00,24.214,,
244,08/05/2024 05:30:00,24.182,,
245,08/05/2024 05:40:00,24.129,,
246,08/05/2024 05:50:00,24.097,,
247,08/05/2024 06:00:00,24.043,,
248,08/05/2024 06:10:00,24.000,,
249,08/05/2024 06:20:00,23.968,,
250,08/05/2024 06:30:00,23.936,,
251,08/05/2024 06:40:00,23.882,,
252,08/05/2024 06:50:00,23.871,,
253,08/05/2024 07:00:00,23.850,,
254,08/05/2024 07:10:00,23.828,,
255,08/05/2024 07:20:00,23.796,,
256,08/05/2024 07:30:00,23.807,,
257,08/05/2024 07:40:00,23.785,,
258,08/05/2024 07:50:00,23.775,,
259,08/05/2024 08:00:00,23.785,,
260,08/05/2024 08:10:00,23.807,,
261,08/05/2024 08:20:00,23.807,,
262,08/05/2024 08:30:00,23.839,,
263,08/05/2024 08:40:00,23.903,,
264,08/05/2024 08:50:00,23.914,,
265,08/05/2024 09:00:00,23.968,,
266,08/05/2024 09:10:00,23.968,,
267,08/05/2024 09:20:00,24.021,,
268,08/05/2024 09:30:00,24.043,,
269,08/05/2024 09:40:00,24.118,,
270,08/05/2024 09:50:00,24.172,,
271,08/05/2024 10:00:00,24.193,,
272,08/05/2024 10:10:00,24.236,,
273,08/05/2024 10:20:00,24.322,,
274,08/05/2024 10:30:00,24.461,,
275,08/05/2024 10:40:00,24.611,,
276,08/05/2024 10:50:00,24.676,,
277,08/05/2024 11:00:00,24.740,,
278,08/05/2024 11:10:00,24.901,,
279,08/05/2024 11:20:00,25.030,,
280,08/05/2024 11:30:00,25.083,,
281,08/05/2024 11:40:00,25.233,,
282,08/05/2024 11:50:00,25.319,,
283,08/05/2024 12:00:00,25.480,,
284,08/05/2024 12:10:00,25.577,,
285,08/05/2024 12:20:00,25.662,,
286,08/05/2024 12:30:00,25.834,,
287,08/05/2024 12:40:00,25.931,,
288,08/05/2024 12:50:00,26.048,,
289,08/05/2024 13:00:00,26.188,,
290,08/05/2024 13:10:00,26.306,,
291,08/05/2024 13:20:00,26.424,,
292,08/05/2024 13:30:00,26.488,,
293,08/05/2024 13:40:00,26.649,,
294,08/05/2024 13:50:00,26.756,,
295,08/05/2024 14:00:00,26.928,,
296,08/05/2024 14:10:00,26.864,,
297,08/05/2024 14:20:00,26.992,,
298,08/05/2024 14:30:00,27.164,,
299,08/05/2024 14:40:00,27.260,,
300,08/05/2024 14:50:00,27.453,,
301,08/05/2024 15:00:00,27.582,,
302,08/05/2024 15:10:00,27.915,,
303,08/05/2024 15:20:00,28.054,,
304,08/05/2024 15:30:00,28.000,,
305,08/05/2024 15:40:00,28.033,,
306,08/05/2024 15:50:00,28.108,,
307,08/05/2024 16:00:00,28.311,,
308,08/05/2024 16:10:00,28.204,,
309,08/05/2024 16:20:00,28.397,,
310,08/05/2024 16:30:00,28.333,,
311,08/05/2024 16:40:00,28.301,,
312,08/05/2024 16:50:00,28.258,,
313,08/05/2024 17:00:00,28.269,,
314,08/05/2024 17:10:00,28.226,,
315,08/05/2024 17:20:00,28.183,,
316,08/05/2024 17:30:00,28.140,,
317,08/05/2024 17:40:00,28.076,,
318,08/05/2024 17:50:00,28.011,,
319,08/05/2024 18:00:00,27.925,,
320,08/05/2024 18:10:00,27.861,,
321,08/05/2024 18:20:00,27.765,,
322,08/05/2024 18:30:00,27.668,,
323,08/05/2024 18:40:00,27.571,,
324,08/05/2024 18:50:00,27.475,,
325,08/05/2024 19:00:00,27.389,,
326,08/05/2024 19:10:00,27.303,,
327,08/05/2024 19:20:00,27.196,,
328,08/05/2024 19:30:00,27.100,,
329,08/05/2024 19:40:00,26.992,,
330,08/05/2024 19:50:00,26.928,,
331,08/05/2024 20:00:00,26.831,,
332,08/05/2024 20:10:00,26.735,,
333,08/05/2024 20:20:00,26.628,,
334,08/05/2024 20:30:00,26.542,,
335,08/05/2024 20:40:00,26.445,,
336,08/05/2024 20:50:00,26.360,,
337,08/05/2024 21:00:00,26.252,,
338,08/05/2024 21:10:00,26.177,,
339,08/05/2024 21:20:00,26.102,,
340,08/05/2024 21:30:00,26.016,,
341,08/05/2024 21:40:00,25.941,,
342,08/05/2024 21:50:00,25.834,,
343,08/05/2024 22:00:00,25.748,,
344,08/05/2024 22:10:00,25.673,,
345,08/05/2024 22:20:00,25.598,,
346,08/05/2024 22:30:00,25.512,,
347,08/05/2024 22:40:00,25.405,,
348,08/05/2024 22:50:00,25.341,,
349,08/05/2024 23:00:00,25.233,,
350,08/05/2024 23:10:00,25.201,,
351,08/05/2024 23:20:00,25.105,,
352,08/05/2024 23:30:00,25.030,,
353,08/05/2024 23:40:00,24.976,,
354,08/05/2024 23:50:00,24.912,,
355,08/06/2024 00:00:00,24.837,,
356,08/06/2024 00:10:00,24.751,,
357,08/06/2024 00:20:00,24.686,,
358,08/06/2024 00:30:00,24.601,,
359,08/06/2024 00:40:00,24.558,,
360,08/06/2024 00:50:00,24.493,,
361,08/06/2024 01:00:00,24.429,,
362,08/06/2024 01:10:00,24.365,,
363,08/06/2024 01:20:00,24.290,,
364,08/06/2024 01:30:00,24.247,,
365,08/06/2024 01:40:00,24.193,,
366,08/06/2024 01:50:00,24.118,,
367,08/06/2024 02:00:00,24.054,,
368,08/06/2024 02:10:00,24.000,,
369,08/06/2024 02:20:00,23.925,,
370,08/06/2024 02:30:00,23.882,,
371,08/06/2024 02:40:00,23.828,,
372,08/06/2024 02:50:00,23.764,,
373,08/06/2024 03:00:00,23.721,,
374,08/06/2024 03:10:00,23.625,,
375,08/06/2024 03:20:00,23.592,,
376,08/06/2024 03:30:00,23.528,,
377,08/06/2024 03:40:00,23.507,,
378,08/06/2024 03:50:00,23.421,,
379,08/06/2024 04:00:00,23.367,,
380,08/06/2024 04:10:00,23.303,,
381,08/06/2024 04:20:00,23.271,,
382,08/06/2024 04:30:00,23.239,,
383,08/06/2024 04:40:00,23.185,,
384,08/06/2024 04:50:00,23.110,,
385,08/06/2024 05:00:00,23.088,,
386,08/06/2024 05:10:00,23.035,,
387,08/06/2024 05:20:00,23.024,,
388,08/06/2024 05:30:00,22.970,,
389,08/06/2024 05:40:00,22.927,,
390,08/06/2024 05:50:00,22.917,,
391,08/06/2024 06:00:00,22.874,,
392,08/06/2024 06:10:00,22.842,,
393,08/06/2024 06:20:00,22.799,,
394,08/06/2024 06:30:00,22.777,,
395,08/06/2024 06:40:00,22.767,,
396,08/06/2024 06:50:00,22.777,,
397,08/06/2024 07:00:00,22.767,,
398,08/06/2024 07:10:00,22.756,,
399,08/06/2024 07:20:00,22.777,,
400,08/06/2024 07:30:00,22.799,,
401,08/06/2024 07:40:00,22.810,,
402,08/06/2024 07:50:00,22.820,,
403,08/06/2024 08:00:00,22.863,,
404,08/06/2024 08:10:00,22.863,,
405,08/06/2024 08:20:00,22.906,,
406,08/06/2024 08:30:00,22.938,,
407,08/06/2024 08:40:00,22.981,,
408,08/06/2024 08:50:00,23.078,,
409,08/06/2024 09:00:00,23.121,,
410,08/06/2024 09:10:00,23.174,,
411,08/06/2024 09:20:00,23.228,,
412,08/06/2024 09:30:00,23.292,,
413,08/06/2024 09:40:00,23.367,,
414,08/06/2024 09:50:00,23.442,,
415,08/06/2024 10:00:00,23.528,,
416,08/06/2024 10:10:00,23.614,,
417,08/06/2024 10:20:00,23.721,,
418,08/06/2024 10:30:00,23.882,,
419,08/06/2024 10:40:00,24.011,,
420,08/06/2024 10:50:00,24.097,,
421,08/06/2024 11:00:00,24.247,,
422,08/06/2024 11:10:00,24.375,,
423,08/06/2024 11:20:00,24.515,,
424,08/06/2024 11:30:00,24.665,,
425,08/06/2024 11:40:00,24.815,,
426,08/06/2024 11:50:00,24.933,,
427,08/06/2024 12:00:00,25.083,,
428,08/06/2024 12:10:00,25.255,,
429,08/06/2024 12:20:00,25.426,,
430,08/06/2024 12:30:00,25.555,,
431,08/06/2024 12:40:00,25.716,,
432,08/06/2024 12:50:00,25.855,,
433,08/06/2024 13:00:00,25.984,,
434,08/06/2024 13:10:00,26.145,,
435,08/06/2024 13:20:00,26.306,,
436,08/06/2024 13:30:00,26.435,,
437,08/06/2024 13:40:00,26.595,,
438,08/06/2024 13:50:00,26.756,,
439,08/06/2024 14:00:00,26.864,,
440,08/06/2024 14:10:00,27.046,,
441,08/06/2024 14:20:00,27.164,,
442,08/06/2024 14:30:00,27.282,,
443,08/06/2024 14:40:00,27.421,,
444,08/06/2024 14:50:00,27.561,,
445,08/06/2024 15:00:00,27.614,,
446,08/06/2024 15:10:00,27.797,,
447,08/06/2024 15:20:00,27.915,,
448,08/06/2024 15:30:00,27.775,,
449,08/06/2024 15:40:00,27.947,,
450,08/06/2024 15:50:00,27.958,,
451,08/06/2024 16:00:00,28.140,,
452,08/06/2024 16:10:00,28.226,,
453,08/06/2024 16:20:00,28.279,,
454,08/06/2024 16:30:00,28.301,,
455,08/06/2024 16:40:00,28.269,,
456,08/06/2024 16:50:00,28.311,,
457,08/06/2024 17:00:00,28.269,,
458,08/06/2024 17:10:00,28.429,,
459,08/06/2024 17:20:00,28.279,,
460,08/06/2024 17:30:00,28.462,,
461,08/06/2024 17:40:00,28.333,,
462,08/06/2024 17:50:00,28.236,,
463,08/06/2024 18:00:00,28.204,,
464,08/06/2024 18:10:00,28.129,,
465,08/06/2024 18:20:00,28.076,,
466,08/06/2024 18:30:00,28.011,,
467,08/06/2024 18:40:00,27.968,,
468,08/06/2024 18:50:00,27.904,,
469,08/06/2024 19:00:00,27.807,,
470,08/06/2024 19:10:00,27.722,,
471,08/06/2024 19:20:00,27.636,,
472,08/06/2024 19:30:00,27.561,,
473,08/06/2024 19:40:00,27.496,,
474,08/06/2024 19:50:00,27.411,,
475,08/06/2024 20:00:00,27.325,,
476,08/06/2024 20:10:00,27.228,,
477,08/06/2024 20:20:00,27.132,,
478,08/06/2024 20:30:00,27.057,,
479,08/06/2024 20:40:00,26.982,,
480,08/06/2024 20:50:00,26.917,,
481,08/06/2024 21:00:00,26.810,,
482,08/06/2024 21:10:00,26.724,,
483,08/06/2024 21:20:00,26.660,,
484,08/06/2024 21:30:00,26.563,,
485,08/06/2024 21:40:00,26.488,,
486,08/06/2024 21:50:00,26.402,,
487,08/06/2024 22:00:00,26.338,,
488,08/06/2024 22:10:00,26.252,,
489,08/06/2024 22:20:00,26.166,,
490,08/06/2024 22:30:00,26.113,,
491,08/06/2024 22:40:00,26.048,,
492,08/06/2024 22:50:00,25.952,,
493,08/06/2024 23:00:00,25.898,,
494,08/06/2024 23:10:00,25.823,,
495,08/06/2024 23:20:00,25.748,,
496,08/06/2024 23:30:00,25.673,,
497,08/06/2024 23:40:00,25.598,,
498,08/06/2024 23:50:00,25.544,,
499,08/07/2024 00:00:00,25.480,,
500,08/07/2024 00:10:00,25.416,,
501,08/07/2024 00:20:00,25.373,,
502,08/07/2024 00:30:00,25.330,,
503,08/07/2024 00:40:00,25.266,,
504,08/07/2024 00:50:00,25.212,,
505,08/07/2024 01:00:00,25.137,,
506,08/07/2024 01:10:00,25.083,,
507,08/07/2024 01:20:00,25.030,,
508,08/07/2024 01:30:00,24.987,,
509,08/07/2024 01:40:00,24.944,,
510,08/07/2024 01:50:00,24.869,,
511,08/07/2024 02:00:00,24.847,,
512,08/07/2024 02:10:00,24.794,,
513,08/07/2024 02:20:00,24.729,,
514,08/07/2024 02:30:00,24.676,,
515,08/07/2024 02:40:00,24.654,,
516,08/07/2024 02:50:00,24.590,,
517,08/07/2024 03:00:00,24.568,,
518,08/07/2024 03:10:00,24.515,,
519,08/07/2024 03:20:00,24.450,,
520,08/07/2024 03:30:00,24.386,,
521,08/07/2024 03:40:00,24.332,,
522,08/07/2024 03:50:00,24.322,,
523,08/07/2024 04:00:00,24.268,,
524,08/07/2024 04:10:00,24.236,,
525,08/07/2024 04:20:00,24.204,,
526,08/07/2024 04:30:00,24.193,,
527,08/07/2024 04:40:00,24.139,,
528,08/07/2024 04:50:00,24.118,,
529,08/07/2024 05:00:00,24.097,,
530,08/07/2024 05:10:00,24.064,,
531,08/07/2024 05:20:00,24.043,,
532,08/07/2024 05:30:00,23.989,,
533,08/07/2024 05:40:00,23.979,,
534,08/07/2024 05:50:00,23.957,,
535,08/07/2024 06:00:00,23.936,,
536,08/07/2024 06:10:00,23.893,,
537,08/07/2024 06:20:00,23.893,,
538,08/07/2024 06:30:00,23.882,,
539,08/07/2024 06:40:00,23.861,,
540,08/07/2024 06:50:00,23.882,,
541,08/07/2024 07:00:00,23.871,,
542,08/07/2024 07:10:00,23.882,,
543,08/07/2024 07:20:00,23.914,,
544,08/07/2024 07:30:00,23.936,,
545,08/07/2024 07:40:00,23.957,,
546,08/07/2024 07:50:00,23.979,,
547,08/07/2024 08:00:00,24.011,,
548,08/07/2024 08:10:00,24.043,,
549,08/07/2024 08:20:00,24.097,,
550,08/07/2024 08:30:00,24.161,,
551,08/07/2024 08:40:00,24.193,,
552,08/07/2024 08:50:00,24.247,,
553,08/07/2024 09:00:00,24.311,,
554,08/07/2024 09:10:00,24.354,,
555,08/07/2024 09:20:00,24.418,,
556,08/07/2024 09:30:00,24.450,,
557,08/07/2024 09:40:00,24.504,,
558,08/07/2024 09:50:00,24.590,,
559,08/07/2024 10:00:00,24.654,,
560,08/07/2024 10:10:00,24.719,,
561,08/07/2024 10:20:00,24.772,,
562,08/07/2024 10:30:00,24.869,,
563,08/07/2024 10:40:00,24.933,,
564,08/07/2024 10:50:00,25.083,,
565,08/07/2024 11:00:00,25.201,,
566,08/07/2024 11:10:00,25.298,,
567,08/07/2024 11:20:00,25.394,,
568,08/07/2024 11:30:00,25.502,,
569,08/07/2024 11:40:00,25.619,,
570,08/07/2024 11:50:00,25.737,,
571,08/07/2024 12:00:00,25.866,,
572,08/07/2024 12:10:00,26.006,,
573,08/07/2024 12:20:00,26.113,,
574,08/07/2024 12:30:00,26.295,,
