#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Down,Button Up,End of File
178,07/26/2024 14:30:00,29.931,,,
179,07/26/2024 14:40:00,29.985,,,
180,07/26/2024 14:50:00,30.489,,,
181,07/26/2024 15:00:00,30.725,,,
182,07/26/2024 15:10:00,30.853,,,
183,07/26/2024 15:20:00,30.939,,,
184,07/26/2024 15:30:00,31.100,,,
185,07/26/2024 15:40:00,31.154,,,
186,07/26/2024 15:50:00,31.261,,,
187,07/26/2024 16:00:00,31.304,,,
188,07/26/2024 16:10:00,31.304,,,
189,07/26/2024 16:20:00,31.132,,,
190,07/26/2024 16:30:00,31.132,,,
191,07/26/2024 16:40:00,31.100,,,
192,07/26/2024 16:50:00,31.100,,,
193,07/26/2024 17:00:00,30.939,,,
194,07/26/2024 17:10:00,30.510,,,
195,07/26/2024 17:20:00,30.371,,,
196,07/26/2024 17:30:00,30.221,,,
197,07/26/2024 17:40:00,30.103,,,
198,07/26/2024 17:50:00,29.974,,,
199,07/26/2024 18:00:00,29.802,,,
200,07/26/2024 18:10:00,29.674,,,
201,07/26/2024 18:20:00,29.566,,,
202,07/26/2024 18:30:00,29.448,,,
203,07/26/2024 18:40:00,29.363,,,
204,07/26/2024 18:50:00,29.212,,,
205,07/26/2024 19:00:00,29.030,,,
206,07/26/2024 19:10:00,28.816,,,
207,07/26/2024 19:20:00,28.569,,,
208,07/26/2024 19:30:00,28.429,,,
209,07/26/2024 19:40:00,28.333,,,
210,07/26/2024 19:50:00,28.226,,,
211,07/26/2024 20:00:00,28.151,,,
212,07/26/2024 20:10:00,28.054,,,
213,07/26/2024 20:20:00,27.947,,,
214,07/26/2024 20:30:00,27.882,,,
215,07/26/2024 20:40:00,27.797,,,
216,07/26/2024 20:50:00,27.711,,,
217,07/26/2024 21:00:00,27.647,,,
218,07/26/2024 21:10:00,27.582,,,
219,07/26/2024 21:20:00,27.496,,,
220,07/26/2024 21:30:00,27.421,,,
221,07/26/2024 21:40:00,27.357,,,
222,07/26/2024 21:50:00,27.282,,,
223,07/26/2024 22:00:00,27.207,,,
224,07/26/2024 22:10:00,27.132,,,
225,07/26/2024 22:20:00,27.067,,,
226,07/26/2024 22:30:00,27.035,,,
227,07/26/2024 22:40:00,26.982,,,
228,07/26/2024 22:50:00,26.917,,,
229,07/26/2024 23:00:00,26.864,,,
230,07/26/2024 23:10:00,26.842,,,
231,07/26/2024 23:20:00,26.767,,,
232,07/26/2024 23:30:00,26.724,,,
233,07/26/2024 23:40:00,26.671,,,
234,07/26/2024 23:50:00,26.585,,,
235,07/27/2024 00:00:00,26.520,,,
236,07/27/2024 00:10:00,26.456,,,
237,07/27/2024 00:20:00,26.424,,,
238,07/27/2024 00:30:00,26.370,,,
239,07/27/2024 00:40:00,26.295,,,
240,07/27/2024 00:50:00,26.263,,,
241,07/27/2024 01:00:00,26.102,,,
242,07/27/2024 01:10:00,25.952,,,
243,07/27/2024 01:20:00,25.813,,,
244,07/27/2024 01:30:00,25.684,,,
245,07/27/2024 01:40:00,25.619,,,
246,07/27/2024 01:50:00,25.512,,,
247,07/27/2024 02:00:00,25.448,,,
248,07/27/2024 02:10:00,25.351,,,
249,07/27/2024 02:20:00,25.298,,,
250,07/27/2024 02:30:00,25.201,,,
251,07/27/2024 02:40:00,25.137,,,
252,07/27/2024 02:50:00,25.094,,,
253,07/27/2024 03:00:00,25.030,,,
254,07/27/2024 03:10:00,24.997,,,
255,07/27/2024 03:20:00,24.944,,,
256,07/27/2024 03:30:00,24.933,,,
257,07/27/2024 03:40:00,24.869,,,
258,07/27/2024 03:50:00,24.869,,,
259,07/27/2024 04:00:00,24.837,,,
260,07/27/2024 04:10:00,24.826,,,
261,07/27/2024 04:20:00,24.815,,,
262,07/27/2024 04:30:00,24.772,,,
263,07/27/2024 04:40:00,24.761,,,
264,07/27/2024 04:50:00,24.719,,,
265,07/27/2024 05:00:00,24.729,,,
266,07/27/2024 05:10:00,24.719,,,
267,07/27/2024 05:20:00,24.676,,,
268,07/27/2024 05:30:00,24.676,,,
269,07/27/2024 05:40:00,24.665,,,
270,07/27/2024 05:50:00,24.622,,,
271,07/27/2024 06:00:00,24.622,,,
272,07/27/2024 06:10:00,24.579,,,
273,07/27/2024 06:20:00,24.579,,,
274,07/27/2024 06:30:00,24.568,,,
275,07/27/2024 06:40:00,24.504,,,
276,07/27/2024 06:50:00,24.450,,,
277,07/27/2024 07:00:00,24.429,,,
278,07/27/2024 07:10:00,24.418,,,
279,07/27/2024 07:20:00,24.408,,,
280,07/27/2024 07:30:00,24.408,,,
281,07/27/2024 07:40:00,24.429,,,
282,07/27/2024 07:50:00,24.461,,,
283,07/27/2024 08:00:00,24.472,,,
284,07/27/2024 08:10:00,24.536,,,
285,07/27/2024 08:20:00,24.611,,,
286,07/27/2024 08:30:00,24.740,,,
287,07/27/2024 08:40:00,24.729,,,
288,07/27/2024 08:50:00,24.761,,,
289,07/27/2024 09:00:00,24.869,,,
290,07/27/2024 09:10:00,24.933,,,
291,07/27/2024 09:20:00,25.105,,,
292,07/27/2024 09:30:00,25.190,,,
293,07/27/2024 09:40:00,25.233,,,
294,07/27/2024 09:50:00,25.341,,,
295,07/27/2024 10:00:00,25.437,,,
296,07/27/2024 10:10:00,25.448,,,
297,07/27/2024 10:20:00,25.534,,,
298,07/27/2024 10:30:00,25.813,,,
299,07/27/2024 10:40:00,26.038,,,
300,07/27/2024 10:50:00,26.284,,,
301,07/27/2024 11:00:00,26.510,,,
302,07/27/2024 11:10:00,26.767,,,
303,07/27/2024 11:20:00,26.982,,,
304,07/27/2024 11:30:00,26.939,,,
305,07/27/2024 11:40:00,26.735,,,
306,07/27/2024 11:50:00,26.520,,,
307,07/27/2024 12:00:00,26.231,,,
308,07/27/2024 12:10:00,26.124,,,
309,07/27/2024 12:20:00,26.091,,,
310,07/27/2024 12:30:00,26.102,,,
311,07/27/2024 12:40:00,26.091,,,
312,07/27/2024 12:50:00,26.091,,,
313,07/27/2024 13:00:00,26.081,,,
314,07/27/2024 13:10:00,26.166,,,
315,07/27/2024 13:20:00,26.242,,,
316,07/27/2024 13:30:00,26.488,,,
317,07/27/2024 13:40:00,26.638,,,
318,07/27/2024 13:50:00,26.595,,,
319,07/27/2024 14:00:00,26.885,,,
320,07/27/2024 14:10:00,26.949,,,
321,07/27/2024 14:20:00,26.531,,,
322,07/27/2024 14:30:00,26.263,,,
323,07/27/2024 14:40:00,26.091,,,
324,07/27/2024 14:50:00,26.027,,,
325,07/27/2024 15:00:00,26.038,,,
326,07/27/2024 15:10:00,25.888,,,
327,07/27/2024 15:20:00,25.909,,,
328,07/27/2024 15:30:00,25.931,,,
329,07/27/2024 15:40:00,25.963,,,
330,07/27/2024 15:50:00,26.038,,,
331,07/27/2024 16:00:00,26.220,,,
332,07/27/2024 16:10:00,26.456,,,
333,07/27/2024 16:20:00,26.531,,,
334,07/27/2024 16:30:00,26.445,,,
335,07/27/2024 16:40:00,26.349,,,
336,07/27/2024 16:50:00,26.360,,,
337,07/27/2024 17:00:00,26.435,,,
338,07/27/2024 17:10:00,26.360,,,
339,07/27/2024 17:20:00,26.327,,,
340,07/27/2024 17:30:00,26.306,,,
341,07/27/2024 17:40:00,26.263,,,
342,07/27/2024 17:50:00,26.231,,,
343,07/27/2024 18:00:00,26.231,,,
344,07/27/2024 18:10:00,26.188,,,
345,07/27/2024 18:20:00,26.188,,,
346,07/27/2024 18:30:00,26.145,,,
347,07/27/2024 18:40:00,26.113,,,
348,07/27/2024 18:50:00,26.027,,,
349,07/27/2024 19:00:00,26.006,,,
350,07/27/2024 19:10:00,25.920,,,
351,07/27/2024 19:20:00,25.855,,,
352,07/27/2024 19:30:00,25.770,,,
353,07/27/2024 19:40:00,25.695,,,
354,07/27/2024 19:50:00,25.652,,,
355,07/27/2024 20:00:00,25.555,,,
356,07/27/2024 20:10:00,25.502,,,
357,07/27/2024 20:20:00,25.459,,,
358,07/27/2024 20:30:00,25.394,,,
359,07/27/2024 20:40:00,25.362,,,
360,07/27/2024 20:50:00,25.319,,,
361,07/27/2024 21:00:00,25.266,,,
362,07/27/2024 21:10:00,25.223,,,
363,07/27/2024 21:20:00,25.180,,,
364,07/27/2024 21:30:00,25.148,,,
365,07/27/2024 21:40:00,25.105,,,
366,07/27/2024 21:50:00,25.062,,,
367,07/27/2024 22:00:00,25.030,,,
368,07/27/2024 22:10:00,24.987,,,
369,07/27/2024 22:20:00,24.976,,,
370,07/27/2024 22:30:00,24.955,,,
371,07/27/2024 22:40:00,24.933,,,
372,07/27/2024 22:50:00,24.879,,,
373,07/27/2024 23:00:00,24.408,,,
374,07/27/2024 23:10:00,24.129,,,
375,07/27/2024 23:20:00,24.011,,,
376,07/27/2024 23:30:00,24.011,,,
377,07/27/2024 23:40:00,23.946,,,
378,07/27/2024 23:50:00,23.903,,,
379,07/28/2024 00:00:00,23.871,,,
380,07/28/2024 00:10:00,23.839,,,
381,07/28/2024 00:20:00,23.850,,,
382,07/28/2024 00:30:00,23.850,,,
383,07/28/2024 00:40:00,23.828,,,
384,07/28/2024 00:50:00,23.839,,,
385,07/28/2024 01:00:00,23.818,,,
386,07/28/2024 01:10:00,23.828,,,
387,07/28/2024 01:20:00,23.807,,,
388,07/28/2024 01:30:00,23.807,,,
389,07/28/2024 01:40:00,23.828,,,
390,07/28/2024 01:50:00,23.807,,,
391,07/28/2024 02:00:00,23.807,,,
392,07/28/2024 02:10:00,23.807,,,
393,07/28/2024 02:20:00,23.785,,,
394,07/28/2024 02:30:00,23.764,,,
395,07/28/2024 02:40:00,23.743,,,
396,07/28/2024 02:50:00,23.753,,,
397,07/28/2024 03:00:00,23.743,,,
398,07/28/2024 03:10:00,23.732,,,
399,07/28/2024 03:20:00,23.710,,,
400,07/28/2024 03:30:00,23.678,,,
401,07/28/2024 03:40:00,23.657,,,
402,07/28/2024 03:50:00,23.625,,,
403,07/28/2024 04:00:00,23.646,,,
404,07/28/2024 04:10:00,23.625,,,
405,07/28/2024 04:20:00,23.625,,,
406,07/28/2024 04:30:00,23.603,,,
407,07/28/2024 04:40:00,23.550,,,
408,07/28/2024 04:50:00,23.496,,,
409,07/28/2024 05:00:00,23.453,,,
410,07/28/2024 05:10:00,23.410,,,
411,07/28/2024 05:20:00,23.399,,,
412,07/28/2024 05:30:00,23.410,,,
413,07/28/2024 05:40:00,23.367,,,
414,07/28/2024 05:50:00,23.367,,,
415,07/28/2024 06:00:00,23.356,,,
416,07/28/2024 06:10:00,23.335,,,
417,07/28/2024 06:20:00,23.324,,,
418,07/28/2024 06:30:00,23.314,,,
419,07/28/2024 06:40:00,23.356,,,
420,07/28/2024 06:50:00,23.324,,,
421,07/28/2024 07:00:00,23.335,,,
422,07/28/2024 07:10:00,23.367,,,
423,07/28/2024 07:20:00,23.378,,,
424,07/28/2024 07:30:00,23.410,,,
425,07/28/2024 07:40:00,23.432,,,
426,07/28/2024 07:50:00,23.442,,,
427,07/28/2024 08:00:00,23.442,,,
428,07/28/2024 08:10:00,23.421,,,
429,07/28/2024 08:20:00,23.432,,,
430,07/28/2024 08:30:00,23.410,,,
431,07/28/2024 08:40:00,23.389,,,
432,07/28/2024 08:50:00,23.367,,,
433,07/28/2024 09:00:00,23.389,,,
434,07/28/2024 09:10:00,23.410,,,
435,07/28/2024 09:20:00,23.464,,,
436,07/28/2024 09:30:00,23.528,,,
437,07/28/2024 09:40:00,23.592,,,
438,07/28/2024 09:50:00,23.678,,,
439,07/28/2024 10:00:00,23.796,,,
440,07/28/2024 10:10:00,23.914,,,
441,07/28/2024 10:20:00,24.064,,,
442,07/28/2024 10:30:00,24.247,,,
443,07/28/2024 10:40:00,24.322,,,
444,07/28/2024 10:50:00,24.611,,,
445,07/28/2024 11:00:00,24.815,,,
446,07/28/2024 11:10:00,25.073,,,
447,07/28/2024 11:20:00,25.298,,,
448,07/28/2024 11:30:00,25.555,,,
449,07/28/2024 11:40:00,25.662,,,
450,07/28/2024 11:50:00,25.888,,,
451,07/28/2024 12:00:00,25.748,,,
452,07/28/2024 12:10:00,25.823,,,
453,07/28/2024 12:20:00,25.888,,,
454,07/28/2024 12:30:00,26.306,,,
455,07/28/2024 12:40:00,26.510,,,
456,07/28/2024 12:50:00,26.724,,,
457,07/28/2024 13:00:00,26.885,,,
458,07/28/2024 13:10:00,27.078,,,
459,07/28/2024 13:20:00,27.282,,,
460,07/28/2024 13:30:00,27.218,,,
461,07/28/2024 13:40:00,27.443,,,
462,07/28/2024 13:50:00,27.582,,,
463,07/28/2024 14:00:00,27.775,,,
464,07/28/2024 14:10:00,27.518,,,
465,07/28/2024 14:20:00,28.022,,,
466,07/28/2024 14:30:00,27.915,,,
467,07/28/2024 14:40:00,28.226,,,
468,07/28/2024 14:50:00,28.226,,,
469,07/28/2024 15:00:00,28.247,,,
470,07/28/2024 15:10:00,28.011,,,
471,07/28/2024 15:20:00,27.861,,,
472,07/28/2024 15:30:00,28.043,,,
473,07/28/2024 15:40:00,28.097,,,
474,07/28/2024 15:50:00,28.172,,,
475,07/28/2024 16:00:00,28.236,,,
476,07/28/2024 16:10:00,28.290,,,
477,07/28/2024 16:20:00,28.311,,,
478,07/28/2024 16:30:00,28.161,,,
479,07/28/2024 16:40:00,28.172,,,
480,07/28/2024 16:50:00,28.322,,,
481,07/28/2024 17:00:00,28.151,,,
482,07/28/2024 17:10:00,27.958,,,
483,07/28/2024 17:20:00,27.915,,,
484,07/28/2024 17:30:00,27.872,,,
485,07/28/2024 17:40:00,27.765,,,
486,07/28/2024 17:50:00,27.700,,,
487,07/28/2024 18:00:00,27.636,,,
488,07/28/2024 18:10:00,27.561,,,
489,07/28/2024 18:20:00,27.486,,,
490,07/28/2024 18:30:00,27.400,,,
491,07/28/2024 18:40:00,27.325,,,
492,07/28/2024 18:50:00,27.282,,,
493,07/28/2024 19:00:00,27.260,,,
494,07/28/2024 19:10:00,27.142,,,
495,07/28/2024 19:20:00,27.024,,,
496,07/28/2024 19:30:00,26.928,,,
497,07/28/2024 19:40:00,26.831,,,
498,07/28/2024 19:50:00,26.789,,,
499,07/28/2024 20:00:00,26.713,,,
500,07/28/2024 20:10:00,26.638,,,
501,07/28/2024 20:20:00,26.542,,,
502,07/28/2024 20:30:00,26.477,,,
503,07/28/2024 20:40:00,26.402,,,
504,07/28/2024 20:50:00,26.360,,,
505,07/28/2024 21:00:00,26.274,,,
506,07/28/2024 21:10:00,26.231,,,
507,07/28/2024 21:20:00,26.177,,,
508,07/28/2024 21:30:00,26.124,,,
509,07/28/2024 21:40:00,26.091,,,
510,07/28/2024 21:50:00,26.070,,,
511,07/28/2024 22:00:00,26.016,,,
512,07/28/2024 22:10:00,25.963,,,
513,07/28/2024 22:20:00,25.898,,,
514,07/28/2024 22:30:00,25.866,,,
515,07/28/2024 22:40:00,25.813,,,
516,07/28/2024 22:50:00,25.791,,,
517,07/28/2024 23:00:00,25.737,,,
518,07/28/2024 23:10:00,25.716,,,
519,07/28/2024 23:20:00,25.695,,,
520,07/28/2024 23:30:00,25.662,,,
521,07/28/2024 23:40:00,25.619,,,
522,07/28/2024 23:50:00,25.619,,,
523,07/29/2024 00:00:00,25.598,,,
524,07/29/2024 00:10:00,25.577,,,
525,07/29/2024 00:20:00,25.566,,,
526,07/29/2024 00:30:00,25.512,,,
527,07/29/2024 00:40:00,25.534,,,
528,07/29/2024 00:50:00,25.523,,,
529,07/29/2024 01:00:00,25.491,,,
530,07/29/2024 01:10:00,25.437,,,
531,07/29/2024 01:20:00,25.394,,,
532,07/29/2024 01:30:00,25.351,,,
533,07/29/2024 01:40:00,25.319,,,
534,07/29/2024 01:50:00,25.276,,,
535,07/29/2024 02:00:00,25.244,,,
536,07/29/2024 02:10:00,25.223,,,
537,07/29/2024 02:20:00,25.201,,,
538,07/29/2024 02:30:00,25.169,,,
539,07/29/2024 02:40:00,25.148,,,
540,07/29/2024 02:50:00,25.148,,,
541,07/29/2024 03:00:00,25.158,,,
542,07/29/2024 03:10:00,25.126,,,
543,07/29/2024 03:20:00,25.115,,,
544,07/29/2024 03:30:00,25.105,,,
545,07/29/2024 03:40:00,25.105,,,
546,07/29/2024 03:50:00,25.051,,,
547,07/29/2024 04:00:00,25.008,,,
548,07/29/2024 04:10:00,24.933,,,
549,07/29/2024 04:20:00,24.912,,,
550,07/29/2024 04:30:00,24.869,,,
551,07/29/2024 04:40:00,24.858,,,
552,07/29/2024 04:50:00,24.837,,,
553,07/29/2024 05:00:00,24.826,,,
554,07/29/2024 05:10:00,24.794,,,
555,07/29/2024 05:20:00,24.815,,,
556,07/29/2024 05:30:00,24.804,,,
557,07/29/2024 05:40:00,24.815,,,
558,07/29/2024 05:50:00,24.804,,,
559,07/29/2024 06:00:00,24.804,,,
560,07/29/2024 06:10:00,24.740,,,
561,07/29/2024 06:20:00,24.676,,,
562,07/29/2024 06:30:00,24.622,,,
563,07/29/2024 06:40:00,24.590,,,
564,07/29/2024 06:50:00,24.568,,,
565,07/29/2024 07:00:00,24.526,,,
566,07/29/2024 07:10:00,24.515,,,
567,07/29/2024 07:20:00,24.493,,,
568,07/29/2024 07:30:00,24.526,,,
569,07/29/2024 07:40:00,24.515,,,
570,07/29/2024 07:50:00,24.504,,,
571,07/29/2024 08:00:00,24.547,,,
572,07/29/2024 08:10:00,24.558,,,
573,07/29/2024 08:20:00,24.558,,,
574,07/29/2024 08:30:00,24.461,,,
575,07/29/2024 08:40:00,24.429,,,
576,07/29/2024 08:50:00,24.257,,,
577,07/29/2024 09:00:00,23.893,,,
578,07/29/2024 09:10:00,23.668,,,
579,07/29/2024 09:20:00,23.700,,,
580,07/29/2024 09:30:00,23.710,,,
581,07/29/2024 09:40:00,23.689,,,
582,07/29/2024 09:50:00,23.582,,,
583,07/29/2024 10:00:00,23.410,,,
584,07/29/2024 10:10:00,23.281,,,
585,07/29/2024 10:20:00,23.249,,,
586,07/29/2024 10:30:00,23.206,,,
587,07/29/2024 10:40:00,23.131,,,
588,07/29/2024 10:50:00,23.121,,,
589,07/29/2024 11:00:00,23.099,,,
590,07/29/2024 11:10:00,23.067,,,
591,07/29/2024 11:20:00,23.067,,,
592,07/29/2024 11:30:00,23.078,,,
593,07/29/2024 11:40:00,23.056,,,
594,07/29/2024 11:50:00,23.078,,,
595,07/29/2024 12:00:00,23.099,,,
596,07/29/2024 12:10:00,23.131,,,
597,07/29/2024 12:20:00,23.185,,,
598,07/29/2024 12:30:00,23.228,,,
599,07/29/2024 12:40:00,23.335,,,
600,07/29/2024 12:50:00,23.442,,,
601,07/29/2024 13:00:00,23.560,,,
602,07/29/2024 13:10:00,23.592,,,
603,07/29/2024 13:20:00,23.678,,,
604,07/29/2024 13:30:00,23.732,,,
605,07/29/2024 13:40:00,23.764,,,
606,07/29/2024 13:50:00,23.818,,,
607,07/29/2024 14:00:00,23.946,,,
608,07/29/2024 14:10:00,24.193,,,
609,07/29/2024 14:20:00,24.300,,,
610,07/29/2024 14:30:00,24.461,,,
611,07/29/2024 14:40:00,24.622,,,
612,07/29/2024 14:50:00,24.708,,,
613,07/29/2024 15:00:00,24.847,,,
614,07/29/2024 15:10:00,24.976,,,
615,07/29/2024 15:20:00,25.008,,,
616,07/29/2024 15:30:00,25.008,,,
617,07/29/2024 15:40:00,25.073,,,
618,07/29/2024 15:50:00,25.158,,,
619,07/29/2024 16:00:00,25.255,,,
620,07/29/2024 16:10:00,25.384,,,
621,07/29/2024 16:20:00,25.480,,,
622,07/29/2024 16:30:00,25.555,,,
623,07/29/2024 16:40:00,25.598,,,
624,07/29/2024 16:50:00,25.673,,,
625,07/29/2024 17:00:00,25.780,,,
626,07/29/2024 17:10:00,25.823,,,
627,07/29/2024 17:20:00,25.855,,,
628,07/29/2024 17:30:00,25.877,,,
629,07/29/2024 17:40:00,25.866,,,
630,07/29/2024 17:50:00,25.834,,,
631,07/29/2024 18:00:00,25.845,,,
632,07/29/2024 18:10:00,25.834,,,
