#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Up,Button Down,Host Connected,End of File
1243,08/03/2024 00:00:00,25.984,,,
45,08/03/2024 20:00:00,26.499,,,,
46,08/03/2024 20:10:00,26.445,,,,
47,08/03/2024 20:20:00,26.402,,,,
48,08/03/2024 20:30:00,26.360,,,,
49,08/03/2024 20:40:00,26.317,,,,
50,08/03/2024 20:50:00,26.274,,,,
51,08/03/2024 21:00:00,26.242,,,,
52,08/03/2024 21:10:00,26.199,,,,
53,08/03/2024 21:20:00,26.156,,,,
54,08/03/2024 21:30:00,26.124,,,,
55,08/03/2024 21:40:00,26.081,,,,
56,08/03/2024 21:50:00,26.038,,,,
57,08/03/2024 22:00:00,26.006,,,,
58,08/03/2024 22:10:00,25.973,,,,
59,08/03/2024 22:20:00,25.931,,,,
60,08/03/2024 22:30:00,25.898,,,,
61,08/03/2024 22:40:00,25.866,,,,
62,08/03/2024 22:50:00,25.834,,,,
63,08/03/2024 23:00:00,25.802,,,,
64,08/03/2024 23:10:00,25.759,,,,
65,08/03/2024 23:20:00,25.737,,,,
66,08/03/2024 23:30:00,25.705,,,,
67,08/03/2024 23:40:00,25.673,,,,
68,08/03/2024 23:50:00,25.641,,,,
69,08/04/2024 00:00:00,25.619,,,,
70,08/04/2024 00:10:00,25.598,,,,
71,08/04/2024 00:20:00,25.566,,,,
72,08/04/2024 00:30:00,25.544,,,,
73,08/04/2024 00:40:00,25.523,,,,
74,08/04/2024 00:50:00,25.491,,,,
75,08/04/2024 01:00:00,25.459,,,,
76,08/04/2024 01:10:00,25.437,,,,
77,08/04/2024 01:20:00,25.394,,,,
78,08/04/2024 01:30:00,25.362,,,,
79,08/04/2024 01:40:00,25.330,,,,
80,08/04/2024 01:50:00,25.308,,,,
81,08/04/2024 02:00:00,25.276,,,,
82,08/04/2024 02:10:00,25.255,,,,
83,08/04/2024 02:20:00,25.233,,,,
84,08/04/2024 02:30:00,25.201,,,,
85,08/04/2024 02:40:00,25.169,,,,
86,08/04/2024 02:50:00,25.126,,,,
87,08/04/2024 03:00:00,25.083,,,,
88,08/04/2024 03:10:00,25.062,,,,
89,08/04/2024 03:20:00,25.030,,,,
90,08/04/2024 03:30:00,24.987,,,,
91,08/04/2024 03:40:00,24.955,,,,
92,08/04/2024 03:50:00,24.922,,,,
93,08/04/2024 04:00:00,24.890,,,,
94,08/04/2024 04:10:00,24.858,,,,
95,08/04/2024 04:20:00,24.826,,,,
96,08/04/2024 04:30:00,24.804,,,,
97,08/04/2024 04:40:00,24.772,,,,
98,08/04/2024 04:50:00,24.740,,,,
99,08/04/2024 05:00:00,24.719,,,,
100,08/04/2024 05:10:00,24.708,,,,
101,08/04/2024 05:20:00,24.676,,,,
102,08/04/2024 05:30:00,24.654,,,,
103,08/04/2024 05:40:00,24.633,,,,
104,08/04/2024 05:50:00,24.601,,,,
105,08/04/2024 06:00:00,24.601,,,,
106,08/04/2024 06:10:00,24.568,,,,
107,08/04/2024 06:20:00,24.558,,,,
108,08/04/2024 06:30:00,24.536,,,,
109,08/04/2024 06:40:00,24.515,,,,
110,08/04/2024 06:50:00,24.504,,,,
111,08/04/2024 07:00:00,24.483,,,,
112,08/04/2024 07:10:00,24.461,,,,
113,08/04/2024 07:20:00,24.450,,,,
114,08/04/2024 07:30:00,24.461,,,,
115,08/04/2024 07:40:00,24.472,,,,
116,08/04/2024 07:50:00,24.483,,,,
117,08/04/2024 08:00:00,24.483,,,,
118,08/04/2024 08:10:00,24.504,,,,
119,08/04/2024 08:20:00,24.504,,,,
120,08/04/2024 08:30:00,24.558,,,,
121,08/04/2024 08:40:00,24.558,,,,
122,08/04/2024 08:50:00,24.590,,,,
123,08/04/2024 09:00:00,24.654,,,,
124,08/04/2024 09:10:00,24.729,,,,
125,08/04/2024 09:20:00,24.740,,,,
126,08/04/2024 09:30:00,24.761,,,,
127,08/04/2024 09:40:00,24.804,,,,
128,08/04/2024 09:50:00,24.858,,,,
129,08/04/2024 10:00:00,24.912,,,,
130,08/04/2024 10:10:00,24.965,,,,
131,08/04/2024 10:20:00,25.008,,,,
132,08/04/2024 10:30:00,25.083,,,,
133,08/04/2024 10:40:00,25.062,,,,
134,08/04/2024 10:50:00,25.212,,,,
135,08/04/2024 11:00:00,25.287,,,,
136,08/04/2024 11:10:00,25.437,,,,
137,08/04/2024 11:20:00,25.555,,,,
138,08/04/2024 11:30:00,25.619,,,,
139,08/04/2024 11:40:00,25.662,,,,
140,08/04/2024 11:50:00,25.898,,,,
141,08/04/2024 12:00:00,25.888,,,,
142,08/04/2024 12:10:00,26.070,,,,
143,08/04/2024 12:20:00,26.317,,,,
144,08/04/2024 12:30:00,26.445,,,,
145,08/04/2024 12:40:00,26.595,,,,
146,08/04/2024 12:50:00,26.703,,,,
147,08/04/2024 13:00:00,26.553,,,,
148,08/04/2024 13:10:00,26.617,,,,
149,08/04/2024 13:20:00,26.810,,,,
150,08/04/2024 13:30:00,26.939,,,,
151,08/04/2024 13:40:00,27.014,,,,
152,08/04/2024 13:50:00,27.132,,,,
153,08/04/2024 14:00:00,27.250,,,,
154,08/04/2024 14:10:00,27.336,,,,
155,08/04/2024 14:20:00,27.378,,,,
156,08/04/2024 14:30:00,27.443,,,,
157,08/04/2024 14:40:00,27.443,,,,
158,08/04/2024 14:50:00,27.593,,,,
159,08/04/2024 15:00:00,27.593,,,,
160,08/04/2024 15:10:00,27.529,,,,
161,08/04/2024 15:20:00,27.496,,,,
162,08/04/2024 15:30:00,27.507,,,,
163,08/04/2024 15:40:00,27.496,,,,
164,08/04/2024 15:50:00,27.561,,,,
165,08/04/2024 16:00:00,27.475,,,,
166,08/04/2024 16:10:00,27.507,,,,
167,08/04/2024 16:20:00,27.625,,,,
168,08/04/2024 16:30:00,27.679,,,,
169,08/04/2024 16:40:00,27.711,,,,
170,08/04/2024 16:50:00,27.754,,,,
171,08/04/2024 17:00:00,27.807,,,,
172,08/04/2024 17:10:00,27.829,,,,
173,08/04/2024 17:20:00,27.797,,,,
174,08/04/2024 17:30:00,27.850,,,,
175,08/04/2024 17:40:00,27.818,,,,
176,08/04/2024 17:50:00,27.732,,,,
177,08/04/2024 18:00:00,27.679,,,,
178,08/04/2024 18:10:00,27.625,,,,
179,08/04/2024 18:20:00,27.582,,,,
180,08/04/2024 18:30:00,27.529,,,,
181,08/04/2024 18:40:00,27.496,,,,
182,08/04/2024 18:50:00,27.443,,,,
183,08/04/2024 19:00:00,27.389,,,,
184,08/04/2024 19:10:00,27.336,,,,
185,08/04/2024 19:20:00,27.271,,,,
186,08/04/2024 19:30:00,27.196,,,,
187,08/04/2024 19:40:00,27.132,,,,
188,08/04/2024 19:50:00,27.057,,,,
189,08/04/2024 20:00:00,26.982,,,,
190,08/04/2024 20:10:00,26.928,,,,
191,08/04/2024 20:20:00,26.864,,,,
192,08/04/2024 20:30:00,26.810,,,,
193,08/04/2024 20:40:00,26.746,,,,
194,08/04/2024 20:50:00,26.681,,,,
195,08/04/2024 21:00:00,26.638,,,,
196,08/04/2024 21:10:00,26.585,,,,
197,08/04/2024 21:20:00,26.531,,,,
198,08/04/2024 21:30:00,26.488,,,,
199,08/04/2024 21:40:00,26.435,,,,
200,08/04/2024 21:50:00,26.392,,,,
201,08/04/2024 22:00:00,26.349,,,,
202,08/04/2024 22:10:00,26.295,,,,
203,08/04/2024 22:20:00,26.252,,,,
204,08/04/2024 22:30:00,26.209,,,,
205,08/04/2024 22:40:00,26.166,,,,
206,08/04/2024 22:50:00,26.124,,,,
207,08/04/2024 23:00:00,26.070,,,,
208,08/04/2024 23:10:00,26.027,,,,
209,08/04/2024 23:20:00,25.973,,,,
210,08/04/2024 23:30:00,25.920,,,,
211,08/04/2024 23:40:00,25.888,,,,
212,08/04/2024 23:50:00,25.845,,,,
213,08/05/2024 00:00:00,25.802,,,,
214,08/05/2024 00:10:00,25.759,,,,
215,08/05/2024 00:20:00,25.716,,,,
216,08/05/2024 00:30:00,25.673,,,,
217,08/05/2024 00:40:00,25.630,,,,
218,08/05/2024 00:50:00,25.598,,,,
219,08/05/2024 01:00:00,25.555,,,,
220,08/05/2024 01:10:00,25.523,,,,
221,08/05/2024 01:20:00,25.480,,,,
222,08/05/2024 01:30:00,25.437,,,,
223,08/05/2024 01:40:00,25.394,,,,
224,08/05/2024 01:50:00,25.351,,,,
225,08/05/2024 02:00:00,25.319,,,,
226,08/05/2024 02:10:00,25.287,,,,
227,08/05/2024 02:20:00,25.255,,,,
228,08/05/2024 02:30:00,25.223,,,,
229,08/05/2024 02:40:00,25.169,,,,
230,08/05/2024 02:50:00,25.126,,,,
231,08/05/2024 03:00:00,25.083,,,,
232,08/05/2024 03:10:00,25.030,,,,
233,08/05/2024 03:20:00,24.987,,,,
234,08/05/2024 03:30:00,24.933,,,,
235,08/05/2024 03:40:00,24.879,,,,
236,08/05/2024 03:50:00,24.826,,,,
237,08/05/2024 04:00:00,24.783,,,,
238,08/05/2024 04:10:00,24.740,,,,
239,08/05/2024 04:20:00,24.686,,,,
240,08/05/2024 04:30:00,24.644,,,,
241,08/05/2024 04:40:00,24.601,,,,
242,08/05/2024 04:50:00,24.547,,,,
243,08/05/2024 05:00:00,24.504,,,,
244,08/05/2024 05:10:00,24.461,,,,
245,08/05/2024 05:20:00,24.429,,,,
246,08/05/2024 05:30:00,24.365,,,,
247,08/05/2024 05:40:00,24.332,,,,
248,08/05/2024 05:50:00,24.290,,,,
249,08/05/2024 06:00:00,24.257,,,,
250,08/05/2024 06:10:00,24.214,,,,
251,08/05/2024 06:20:00,24.172,,,,
252,08/05/2024 06:30:00,24.129,,,,
253,08/05/2024 06:40:00,24.086,,,,
254,08/05/2024 06:50:00,24.064,,,,
255,08/05/2024 07:00:00,24.043,,,,
256,08/05/2024 07:10:00,24.021,,,,
257,08/05/2024 07:20:00,24.000,,,,
258,08/05/2024 07:30:00,23.989,,,,
259,08/05/2024 07:40:00,23.979,,,,
260,08/05/2024 07:50:00,23.979,,,,
261,08/05/2024 08:00:00,23.989,,,,
262,08/05/2024 08:10:00,24.000,,,,
263,08/05/2024 08:20:00,24.000,,,,
264,08/05/2024 08:30:00,24.032,,,,
265,08/05/2024 08:40:00,24.064,,,,
266,08/05/2024 08:50:00,24.129,,,,
267,08/05/2024 09:00:00,24.150,,,,
268,08/05/2024 09:10:00,24.236,,,,
269,08/05/2024 09:20:00,24.225,,,,
270,08/05/2024 09:30:00,24.257,,,,
271,08/05/2024 09:40:00,24.343,,,,
272,08/05/2024 09:50:00,24.397,,,,
273,08/05/2024 10:00:00,24.429,,,,
274,08/05/2024 10:10:00,24.483,,,,
275,08/05/2024 10:20:00,24.568,,,,
276,08/05/2024 10:30:00,24.772,,,,
277,08/05/2024 10:40:00,24.912,,,,
278,08/05/2024 10:50:00,24.955,,,,
279,08/05/2024 11:00:00,25.040,,,,
280,08/05/2024 11:10:00,25.201,,,,
281,08/05/2024 11:20:00,25.330,,,,
282,08/05/2024 11:30:00,25.405,,,,
283,08/05/2024 11:40:00,25.544,,,,
284,08/05/2024 11:50:00,25.641,,,,
285,08/05/2024 12:00:00,25.834,,,,
286,08/05/2024 12:10:00,25.931,,,,
287,08/05/2024 12:20:00,25.973,,,,
288,08/05/2024 12:30:00,26.274,,,,
289,08/05/2024 12:40:00,26.349,,,,
290,08/05/2024 12:50:00,26.413,,,,
291,08/05/2024 13:00:00,26.542,,,,
292,08/05/2024 13:10:00,26.638,,,,
293,08/05/2024 13:20:00,26.756,,,,
294,08/05/2024 13:30:00,26.789,,,,
295,08/05/2024 13:40:00,26.949,,,,
296,08/05/2024 13:50:00,27.046,,,,
297,08/05/2024 14:00:00,27.196,,,,
298,08/05/2024 14:10:00,27.110,,,,
299,08/05/2024 14:20:00,27.250,,,,
300,08/05/2024 14:30:00,27.421,,,,
301,08/05/2024 14:40:00,27.507,,,,
302,08/05/2024 14:50:00,27.743,,,,
303,08/05/2024 15:00:00,27.840,,,,
304,08/05/2024 15:10:00,28.429,,,,
305,08/05/2024 15:20:00,28.387,,,,
306,08/05/2024 15:30:00,28.226,,,,
307,08/05/2024 15:40:00,28.290,,,,
308,08/05/2024 15:50:00,28.354,,,,
309,08/05/2024 16:00:00,28.429,,,,
310,08/05/2024 16:10:00,28.537,,,,
311,08/05/2024 16:20:00,28.687,,,,
312,08/05/2024 16:30:00,28.623,,,,
313,08/05/2024 16:40:00,28.590,,,,
314,08/05/2024 16:50:00,28.526,,,,
315,08/05/2024 17:00:00,28.515,,,,
316,08/05/2024 17:10:00,28.483,,,,
317,08/05/2024 17:20:00,28.419,,,,
318,08/05/2024 17:30:00,28.387,,,,
319,08/05/2024 17:40:00,28.344,,,,
320,08/05/2024 17:50:00,28.258,,,,
321,08/05/2024 18:00:00,28.183,,,,
322,08/05/2024 18:10:00,28.086,,,,
323,08/05/2024 18:20:00,27.990,,,,
324,08/05/2024 18:30:00,27.904,,,,
325,08/05/2024 18:40:00,27.807,,,,
326,08/05/2024 18:50:00,27.722,,,,
327,08/05/2024 19:00:00,27.625,,,,
328,08/05/2024 19:10:00,27.539,,,,
329,08/05/2024 19:20:00,27.443,,,,
330,08/05/2024 19:30:00,27.357,,,,
331,08/05/2024 19:40:00,27.250,,,,
332,08/05/2024 19:50:00,27.164,,,,
333,08/05/2024 20:00:00,27.078,,,,
334,08/05/2024 20:10:00,26.971,,,,
335,08/05/2024 20:20:00,26.874,,,,
336,08/05/2024 20:30:00,26.789,,,,
337,08/05/2024 20:40:00,26.681,,,,
338,08/05/2024 20:50:00,26.595,,,,
339,08/05/2024 21:00:00,26.520,,,,
340,08/05/2024 21:10:00,26.435,,,,
341,08/05/2024 21:20:00,26.349,,,,
342,08/05/2024 21:30:00,26.263,,,,
343,08/05/2024 21:40:00,26.177,,,,
344,08/05/2024 21:50:00,26.091,,,,
345,08/05/2024 22:00:00,26.006,,,,
346,08/05/2024 22:10:00,25.931,,,,
347,08/05/2024 22:20:00,25.834,,,,
348,08/05/2024 22:30:00,25.759,,,,
349,08/05/2024 22:40:00,25.684,,,,
350,08/05/2024 22:50:00,25.598,,,,
351,08/05/2024 23:00:00,25.523,,,,
352,08/05/2024 23:10:00,25.437,,,,
353,08/05/2024 23:20:00,25.362,,,,
354,08/05/2024 23:30:00,25.287,,,,
355,08/05/2024 23:40:00,25.233,,,,
356,08/05/2024 23:50:00,25.169,,,,
357,08/06/2024 00:00:00,25.105,,,,
358,08/06/2024 00:10:00,25.030,,,,
359,08/06/2024 00:20:00,24.976,,,,
360,08/06/2024 00:30:00,24.901,,,,
361,08/06/2024 00:40:00,24.837,,,,
362,08/06/2024 00:50:00,24.772,,,,
363,08/06/2024 01:00:00,24.719,,,,
364,08/06/2024 01:10:00,24.654,,,,
365,08/06/2024 01:20:00,24.601,,,,
366,08/06/2024 01:30:00,24.536,,,,
367,08/06/2024 01:40:00,24.472,,,,
368,08/06/2024 01:50:00,24.408,,,,
369,08/06/2024 02:00:00,24.343,,,,
370,08/06/2024 02:10:00,24.290,,,,
371,08/06/2024 02:20:00,24.225,,,,
372,08/06/2024 02:30:00,24.172,,,,
373,08/06/2024 02:40:00,24.118,,,,
374,08/06/2024 02:50:00,24.054,,,,
375,08/06/2024 03:00:00,24.000,,,,
376,08/06/2024 03:10:00,23.936,,,,
377,08/06/2024 03:20:00,23.871,,,,
378,08/06/2024 03:30:00,23.818,,,,
379,08/06/2024 03:40:00,23.775,,,,
380,08/06/2024 03:50:00,23.721,,,,
381,08/06/2024 04:00:00,23.668,,,,
382,08/06/2024 04:10:00,23.603,,,,
383,08/06/2024 04:20:00,23.560,,,,
384,08/06/2024 04:30:00,23.517,,,,
385,08/06/2024 04:40:00,23.474,,,,
386,08/06/2024 04:50:00,23.421,,,,
387,08/06/2024 05:00:00,23.378,,,,
388,08/06/2024 05:10:00,23.335,,,,
389,08/06/2024 05:20:00,23.292,,,,
390,08/06/2024 05:30:00,23.271,,,,
391,08/06/2024 05:40:00,23.228,,,,
392,08/06/2024 05:50:00,23.196,,,,
393,08/06/2024 06:00:00,23.163,,,,
394,08/06/2024 06:10:00,23.131,,,,
395,08/06/2024 06:20:00,23.099,,,,
396,08/06/2024 06:30:00,23.078,,,,
397,08/06/2024 06:40:00,23.056,,,,
398,08/06/2024 06:50:00,23.045,,,,
399,08/06/2024 07:00:00,23.045,,,,
400,08/06/2024 07:10:00,23.045,,,,
401,08/06/2024 07:20:00,23.045,,,,
402,08/06/2024 07:30:00,23.056,,,,
403,08/06/2024 07:40:00,23.078,,,,
404,08/06/2024 07:50:00,23.088,,,,
405,08/06/2024 08:00:00,23.099,,,,
406,08/06/2024 08:10:00,23.131,,,,
407,08/06/2024 08:20:00,23.153,,,,
408,08/06/2024 08:30:00,23.196,,,,
409,08/06/2024 08:40:00,23.271,,,,
410,08/06/2024 08:50:00,23.335,,,,
411,08/06/2024 09:00:00,23.356,,,,
412,08/06/2024 09:10:00,23.453,,,,
413,08/06/2024 09:20:00,23.496,,,,
414,08/06/2024 09:30:00,23.539,,,,
415,08/06/2024 09:40:00,23.635,,,,
416,08/06/2024 09:50:00,23.710,,,,
417,08/06/2024 10:00:00,23.775,,,,
418,08/06/2024 10:10:00,23.861,,,,
419,08/06/2024 10:20:00,23.957,,,,
420,08/06/2024 10:30:00,24.182,,,,
421,08/06/2024 10:40:00,24.300,,,,
422,08/06/2024 10:50:00,24.386,,,,
423,08/06/2024 11:00:00,24.493,,,,
424,08/06/2024 11:10:00,24.611,,,,
425,08/06/2024 11:20:00,24.783,,,,
426,08/06/2024 11:30:00,24.965,,,,
427,08/06/2024 11:40:00,25.158,,,,
428,08/06/2024 11:50:00,25.298,,,,
429,08/06/2024 12:00:00,25.491,,,,
430,08/06/2024 12:10:00,25.662,,,,
431,08/06/2024 12:20:00,25.866,,,,
432,08/06/2024 12:30:00,26.048,,,,
433,08/06/2024 12:40:00,26.220,,,,
434,08/06/2024 12:50:00,26.349,,,,
435,08/06/2024 13:00:00,26.445,,,,
436,08/06/2024 13:10:00,26.520,,,,
437,08/06/2024 13:20:00,26.671,,,,
438,08/06/2024 13:30:00,26.789,,,,
439,08/06/2024 13:40:00,26.917,,,,
440,08/06/2024 13:50:00,27.057,,,,
441,08/06/2024 14:00:00,27.142,,,,
442,08/06/2024 14:10:00,27.325,,,,
443,08/06/2024 14:20:00,27.443,,,,
444,08/06/2024 14:30:00,27.561,,,,
445,08/06/2024 14:40:00,27.700,,,,
446,08/06/2024 14:50:00,27.818,,,,
447,08/06/2024 15:00:00,27.882,,,,
448,08/06/2024 15:10:00,28.033,,,,
449,08/06/2024 15:20:00,28.172,,,,
450,08/06/2024 15:30:00,28.022,,,,
451,08/06/2024 15:40:00,28.226,,,,
452,08/06/2024 15:50:00,28.204,,,,
453,08/06/2024 16:00:00,28.387,,,,
454,08/06/2024 16:10:00,28.451,,,,
455,08/06/2024 16:20:00,28.515,,,,
456,08/06/2024 16:30:00,28.537,,,,
457,08/06/2024 16:40:00,28.515,,,,
458,08/06/2024 16:50:00,28.537,,,,
459,08/06/2024 17:00:00,28.472,,,,
460,08/06/2024 17:10:00,28.644,,,,
461,08/06/2024 17:20:00,28.483,,,,
462,08/06/2024 17:30:00,28.655,,,,
463,08/06/2024 17:40:00,28.569,,,,
464,08/06/2024 17:50:00,28.483,,,,
465,08/06/2024 18:00:00,28.429,,,,
466,08/06/2024 18:10:00,28.365,,,,
467,08/06/2024 18:20:00,28.311,,,,
468,08/06/2024 18:30:00,28.247,,,,
469,08/06/2024 18:40:00,28.183,,,,
470,08/06/2024 18:50:00,28.118,,,,
471,08/06/2024 19:00:00,28.043,,,,
472,08/06/2024 19:10:00,27.968,,,,
473,08/06/2024 19:20:00,27.882,,,,
474,08/06/2024 19:30:00,27.818,,,,
475,08/06/2024 19:40:00,27.732,,,,
476,08/06/2024 19:50:00,27.657,,,,
477,08/06/2024 20:00:00,27.571,,,,
478,08/06/2024 20:10:00,27.475,,,,
479,08/06/2024 20:20:00,27.389,,,,
480,08/06/2024 20:30:00,27.303,,,,
481,08/06/2024 20:40:00,27.218,,,,
482,08/06/2024 20:50:00,27.142,,,,
483,08/06/2024 21:00:00,27.057,,,,
484,08/06/2024 21:10:00,26.982,,,,
485,08/06/2024 21:20:00,26.896,,,,
486,08/06/2024 21:30:00,26.831,,,,
487,08/06/2024 21:40:00,26.756,,,,
488,08/06/2024 21:50:00,26.671,,,,
489,08/06/2024 22:00:00,26.595,,,,
490,08/06/2024 22:10:00,26.531,,,,
491,08/06/2024 22:20:00,26.445,,,,
492,08/06/2024 22:30:00,26.381,,,,
493,08/06/2024 22:40:00,26.295,,,,
494,08/06/2024 22:50:00,26.231,,,,
495,08/06/2024 23:00:00,26.166,,,,
496,08/06/2024 23:10:00,26.091,,,,
497,08/06/2024 23:20:00,26.016,,,,
498,08/06/2024 23:30:00,25.952,,,,
499,08/06/2024 23:40:00,25.877,,,,
500,08/06/2024 23:50:00,25.813,,,,
501,08/07/2024 00:00:00,25.759,,,,
502,08/07/2024 00:10:00,25.705,,,,
503,08/07/2024 00:20:00,25.652,,,,
504,08/07/2024 00:30:00,25.598,,,,
505,08/07/2024 00:40:00,25.534,,,,
506,08/07/2024 00:50:00,25.480,,,,
507,08/07/2024 01:00:00,25.416,,,,
508,08/07/2024 01:10:00,25.362,,,,
509,08/07/2024 01:20:00,25.319,,,,
510,08/07/2024 01:30:00,25.266,,,,
511,08/07/2024 01:40:00,25.223,,,,
512,08/07/2024 01:50:00,25.169,,,,
513,08/07/2024 02:00:00,25.115,,,,
514,08/07/2024 02:10:00,25.062,,,,
515,08/07/2024 02:20:00,25.008,,,,
516,08/07/2024 02:30:00,24.976,,,,
517,08/07/2024 02:40:00,24.922,,,,
518,08/07/2024 02:50:00,24.879,,,,
519,08/07/2024 03:00:00,24.826,,,,
520,08/07/2024 03:10:00,24.783,,,,
521,08/07/2024 03:20:00,24.729,,,,
522,08/07/2024 03:30:00,24.686,,,,
523,08/07/2024 03:40:00,24.633,,,,
524,08/07/2024 03:50:00,24.590,,,,
525,08/07/2024 04:00:00,24.547,,,,
526,08/07/2024 04:10:00,24.515,,,,
527,08/07/2024 04:20:00,24.483,,,,
528,08/07/2024 04:30:00,24.450,,,,
529,08/07/2024 04:40:00,24.429,,,,
530,08/07/2024 04:50:00,24.397,,,,
