#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Down,Host Connected,End of File
59,07/25/2024 18:40:00,29.169,,,
60,07/25/2024 18:50:00,29.030,,,
61,07/25/2024 19:00:00,28.880,,,
62,07/25/2024 19:10:00,28.762,,,
63,07/25/2024 19:20:00,28.633,,,
64,07/25/2024 19:30:00,28.494,,,
65,07/25/2024 19:40:00,28.365,,,
66,07/25/2024 19:50:00,28.247,,,
67,07/25/2024 20:00:00,28.097,,,
68,07/25/2024 20:10:00,27.968,,,
69,07/25/2024 20:20:00,27.882,,,
70,07/25/2024 20:30:00,27.775,,,
71,07/25/2024 20:40:00,27.647,,,
72,07/25/2024 20:50:00,27.529,,,
73,07/25/2024 21:00:00,27.389,,,
74,07/25/2024 21:10:00,27.293,,,
75,07/25/2024 21:20:00,27.196,,,
76,07/25/2024 21:30:00,27.110,,,
77,07/25/2024 21:40:00,27.014,,,
78,07/25/2024 21:50:00,26.906,,,
79,07/25/2024 22:00:00,26.842,,,
80,07/25/2024 22:10:00,26.756,,,
81,07/25/2024 22:20:00,26.681,,,
82,07/25/2024 22:30:00,26.585,,,
83,07/25/2024 22:40:00,26.531,,,
84,07/25/2024 22:50:00,26.445,,,
85,07/25/2024 23:00:00,26.381,,,
86,07/25/2024 23:10:00,26.317,,,
87,07/25/2024 23:20:00,26.252,,,
88,07/25/2024 23:30:00,26.188,,,
89,07/25/2024 23:40:00,26.124,,,
90,07/25/2024 23:50:00,26.070,,,
91,07/26/2024 00:00:00,26.006,,,
92,07/26/2024 00:10:00,25.963,,,
93,07/26/2024 00:20:00,25.931,,,
94,07/26/2024 00:30:00,25.888,,,
95,07/26/2024 00:40:00,25.823,,,
96,07/26/2024 00:50:00,25.802,,,
97,07/26/2024 01:00:00,25.748,,,
98,07/26/2024 01:10:00,25.716,,,
99,07/26/2024 01:20:00,25.673,,,
100,07/26/2024 01:30:00,25.630,,,
101,07/26/2024 01:40:00,25.609,,,
102,07/26/2024 01:50:00,25.577,,,
103,07/26/2024 02:00:00,25.544,,,
104,07/26/2024 02:10:00,25.502,,,
105,07/26/2024 02:20:00,25.459,,,
106,07/26/2024 02:30:00,25.416,,,
107,07/26/2024 02:40:00,25.394,,,
108,07/26/2024 02:50:00,25.351,,,
109,07/26/2024 03:00:00,25.287,,,
110,07/26/2024 03:10:00,25.255,,,
111,07/26/2024 03:20:00,25.201,,,
112,07/26/2024 03:30:00,25.148,,,
113,07/26/2024 03:40:00,25.115,,,
114,07/26/2024 03:50:00,25.094,,,
115,07/26/2024 04:00:00,25.062,,,
116,07/26/2024 04:10:00,25.030,,,
117,07/26/2024 04:20:00,24.997,,,
118,07/26/2024 04:30:00,24.965,,,
119,07/26/2024 04:40:00,24.955,,,
120,07/26/2024 04:50:00,24.944,,,
121,07/26/2024 05:00:00,24.912,,,
122,07/26/2024 05:10:00,24.879,,,
123,07/26/2024 05:20:00,24.847,,,
124,07/26/2024 05:30:00,24.837,,,
125,07/26/2024 05:40:00,24.794,,,
126,07/26/2024 05:50:00,24.751,,,
127,07/26/2024 06:00:00,24.719,,,
128,07/26/2024 06:10:00,24.719,,,
129,07/26/2024 06:20:00,24.740,,,
130,07/26/2024 06:30:00,24.729,,,
131,07/26/2024 06:40:00,24.719,,,
132,07/26/2024 06:50:00,24.708,,,
133,07/26/2024 07:00:00,24.719,,,
134,07/26/2024 07:10:00,24.719,,,
135,07/26/2024 07:20:00,24.729,,,
136,07/26/2024 07:30:00,24.772,,,
137,07/26/2024 07:40:00,24.794,,,
138,07/26/2024 07:50:00,24.826,,,
139,07/26/2024 08:00:00,24.890,,,
140,07/26/2024 08:10:00,24.922,,,
141,07/26/2024 08:20:00,24.976,,,
142,07/26/2024 08:30:00,25.030,,,
143,07/26/2024 08:40:00,25.083,,,
144,07/26/2024 08:50:00,25.190,,,
145,07/26/2024 09:00:00,25.405,,,
146,07/26/2024 09:10:00,25.502,,,
147,07/26/2024 09:20:00,25.534,,,
148,07/26/2024 09:30:00,25.566,,,
149,07/26/2024 09:40:00,25.737,,,
150,07/26/2024 09:50:00,25.705,,,
151,07/26/2024 10:00:00,25.748,,,
152,07/26/2024 10:10:00,25.845,,,
153,07/26/2024 10:20:00,25.984,,,
154,07/26/2024 10:30:00,26.209,,,
155,07/26/2024 10:40:00,26.456,,,
156,07/26/2024 10:50:00,26.660,,,
157,07/26/2024 11:00:00,26.874,,,
158,07/26/2024 11:10:00,27.121,,,
159,07/26/2024 11:20:00,27.378,,,
160,07/26/2024 11:30:00,27.593,,,
161,07/26/2024 11:40:00,27.818,,,
162,07/26/2024 11:50:00,28.011,,,
163,07/26/2024 12:00:00,28.161,,,
164,07/26/2024 12:10:00,28.344,,,
165,07/26/2024 12:20:00,28.451,,,
166,07/26/2024 12:30:00,28.590,,,
167,07/26/2024 12:40:00,28.740,,,
168,07/26/2024 12:50:00,28.837,,,
169,07/26/2024 13:00:00,29.009,,,
170,07/26/2024 13:10:00,29.148,,,
171,07/26/2024 13:20:00,29.255,,,
172,07/26/2024 13:30:00,29.405,,,
173,07/26/2024 13:40:00,29.588,,,
174,07/26/2024 13:50:00,29.802,,,
175,07/26/2024 14:00:00,29.910,,,
176,07/26/2024 14:10:00,29.952,,,
177,07/26/2024 14:20:00,29.910,,,
178,07/26/2024 14:30:00,29.781,,,
179,07/26/2024 14:40:00,29.716,,,
180,07/26/2024 14:50:00,29.759,,,
181,07/26/2024 15:00:00,29.770,,,
182,07/26/2024 15:10:00,29.266,,,
183,07/26/2024 15:20:00,28.987,,,
184,07/26/2024 15:30:00,28.955,,,
185,07/26/2024 15:40:00,28.966,,,
186,07/26/2024 15:50:00,28.998,,,
187,07/26/2024 16:00:00,29.030,,,
188,07/26/2024 16:10:00,29.073,,,
189,07/26/2024 16:20:00,29.116,,,
190,07/26/2024 16:30:00,29.169,,,
191,07/26/2024 16:40:00,29.191,,,
192,07/26/2024 16:50:00,29.212,,,
193,07/26/2024 17:00:00,29.255,,,
194,07/26/2024 17:10:00,29.052,,,
195,07/26/2024 17:20:00,28.987,,,
196,07/26/2024 17:30:00,28.912,,,
197,07/26/2024 17:40:00,28.880,,,
198,07/26/2024 17:50:00,28.805,,,
199,07/26/2024 18:00:00,28.730,,,
200,07/26/2024 18:10:00,28.676,,,
201,07/26/2024 18:20:00,28.612,,,
202,07/26/2024 18:30:00,28.547,,,
203,07/26/2024 18:40:00,28.483,,,
204,07/26/2024 18:50:00,28.429,,,
205,07/26/2024 19:00:00,28.354,,,
206,07/26/2024 19:10:00,28.290,,,
207,07/26/2024 19:20:00,28.226,,,
208,07/26/2024 19:30:00,28.140,,,
209,07/26/2024 19:40:00,28.172,,,
210,07/26/2024 19:50:00,28.118,,,
211,07/26/2024 20:00:00,28.022,,,
212,07/26/2024 20:10:00,27.936,,,
213,07/26/2024 20:20:00,27.850,,,
214,07/26/2024 20:30:00,27.765,,,
215,07/26/2024 20:40:00,27.679,,,
216,07/26/2024 20:50:00,27.604,,,
217,07/26/2024 21:00:00,27.529,,,
218,07/26/2024 21:10:00,27.443,,,
219,07/26/2024 21:20:00,27.368,,,
220,07/26/2024 21:30:00,27.303,,,
221,07/26/2024 21:40:00,27.239,,,
222,07/26/2024 21:50:00,27.175,,,
223,07/26/2024 22:00:00,27.100,,,
224,07/26/2024 22:10:00,27.035,,,
225,07/26/2024 22:20:00,26.971,,,
226,07/26/2024 22:30:00,26.928,,,
227,07/26/2024 22:40:00,26.864,,,
228,07/26/2024 22:50:00,26.810,,,
229,07/26/2024 23:00:00,26.756,,,
230,07/26/2024 23:10:00,26.692,,,
231,07/26/2024 23:20:00,26.638,,,
232,07/26/2024 23:30:00,26.585,,,
233,07/26/2024 23:40:00,26.531,,,
234,07/26/2024 23:50:00,26.435,,,
235,07/27/2024 00:00:00,26.349,,,
236,07/27/2024 00:10:00,26.295,,,
237,07/27/2024 00:20:00,26.242,,,
238,07/27/2024 00:30:00,26.209,,,
239,07/27/2024 00:40:00,26.156,,,
240,07/27/2024 00:50:00,26.102,,,
241,07/27/2024 01:00:00,25.973,,,
242,07/27/2024 01:10:00,25.802,,,
243,07/27/2024 01:20:00,25.684,,,
244,07/27/2024 01:30:00,25.598,,,
245,07/27/2024 01:40:00,25.523,,,
246,07/27/2024 01:50:00,25.437,,,
247,07/27/2024 02:00:00,25.373,,,
248,07/27/2024 02:10:00,25.276,,,
249,07/27/2024 02:20:00,25.212,,,
250,07/27/2024 02:30:00,25.148,,,
251,07/27/2024 02:40:00,25.083,,,
252,07/27/2024 02:50:00,25.030,,,
253,07/27/2024 03:00:00,24.987,,,
254,07/27/2024 03:10:00,24.933,,,
255,07/27/2024 03:20:00,24.890,,,
256,07/27/2024 03:30:00,24.837,,,
257,07/27/2024 03:40:00,24.804,,,
258,07/27/2024 03:50:00,24.772,,,
259,07/27/2024 04:00:00,24.740,,,
260,07/27/2024 04:10:00,24.719,,,
261,07/27/2024 04:20:00,24.697,,,
262,07/27/2024 04:30:00,24.686,,,
263,07/27/2024 04:40:00,24.654,,,
264,07/27/2024 04:50:00,24.644,,,
265,07/27/2024 05:00:00,24.633,,,
266,07/27/2024 05:10:00,24.622,,,
267,07/27/2024 05:20:00,24.601,,,
268,07/27/2024 05:30:00,24.590,,,
269,07/27/2024 05:40:00,24.558,,,
270,07/27/2024 05:50:00,24.536,,,
271,07/27/2024 06:00:00,24.515,,,
272,07/27/2024 06:10:00,24.515,,,
273,07/27/2024 06:20:00,24.515,,,
274,07/27/2024 06:30:00,24.483,,,
275,07/27/2024 06:40:00,24.429,,,
276,07/27/2024 06:50:00,24.397,,,
277,07/27/2024 07:00:00,24.354,,,
278,07/27/2024 07:10:00,24.311,,,
279,07/27/2024 07:20:00,24.300,,,
280,07/27/2024 07:30:00,24.311,,,
281,07/27/2024 07:40:00,24.311,,,
282,07/27/2024 07:50:00,24.343,,,
283,07/27/2024 08:00:00,24.365,,,
284,07/27/2024 08:10:00,24.386,,,
285,07/27/2024 08:20:00,24.429,,,
286,07/27/2024 08:30:00,24.483,,,
287,07/27/2024 08:40:00,24.515,,,
288,07/27/2024 08:50:00,24.622,,,
289,07/27/2024 09:00:00,24.901,,,
290,07/27/2024 09:10:00,24.933,,,
291,07/27/2024 09:20:00,24.912,,,
292,07/27/2024 09:30:00,24.965,,,
293,07/27/2024 09:40:00,24.997,,,
294,07/27/2024 09:50:00,25.062,,,
295,07/27/2024 10:00:00,25.105,,,
296,07/27/2024 10:10:00,25.169,,,
297,07/27/2024 10:20:00,25.233,,,
298,07/27/2024 10:30:00,25.373,,,
299,07/27/2024 10:40:00,25.619,,,
300,07/27/2024 10:50:00,25.834,,,
301,07/27/2024 11:00:00,26.038,,,
302,07/27/2024 11:10:00,26.274,,,
303,07/27/2024 11:20:00,26.477,,,
304,07/27/2024 11:30:00,26.520,,,
305,07/27/2024 11:40:00,26.424,,,
306,07/27/2024 11:50:00,26.091,,,
307,07/27/2024 12:00:00,25.727,,,
308,07/27/2024 12:10:00,25.566,,,
309,07/27/2024 12:20:00,25.502,,,
310,07/27/2024 12:30:00,25.512,,,
311,07/27/2024 12:40:00,25.523,,,
312,07/27/2024 12:50:00,25.523,,,
313,07/27/2024 13:00:00,25.544,,,
314,07/27/2024 13:10:00,25.619,,,
315,07/27/2024 13:20:00,25.716,,,
316,07/27/2024 13:30:00,26.006,,,
317,07/27/2024 13:40:00,26.070,,,
318,07/27/2024 13:50:00,25.984,,,
319,07/27/2024 14:00:00,26.220,,,
320,07/27/2024 14:10:00,26.252,,,
321,07/27/2024 14:20:00,25.823,,,
322,07/27/2024 14:30:00,25.426,,,
323,07/27/2024 14:40:00,25.319,,,
324,07/27/2024 14:50:00,25.287,,,
325,07/27/2024 15:00:00,25.287,,,
326,07/27/2024 15:10:00,25.212,,,
327,07/27/2024 15:20:00,25.212,,,
328,07/27/2024 15:30:00,25.266,,,
329,07/27/2024 15:40:00,25.308,,,
330,07/27/2024 15:50:00,25.351,,,
331,07/27/2024 16:00:00,25.394,,,
332,07/27/2024 16:10:00,25.469,,,
333,07/27/2024 16:20:00,25.512,,,
334,07/27/2024 16:30:00,25.544,,,
335,07/27/2024 16:40:00,25.544,,,
336,07/27/2024 16:50:00,25.566,,,
337,07/27/2024 17:00:00,25.619,,,
338,07/27/2024 17:10:00,25.652,,,
339,07/27/2024 17:20:00,25.673,,,
340,07/27/2024 17:30:00,25.662,,,
341,07/27/2024 17:40:00,25.695,,,
342,07/27/2024 17:50:00,25.705,,,
343,07/27/2024 18:00:00,25.705,,,
344,07/27/2024 18:10:00,25.716,,,
345,07/27/2024 18:20:00,25.716,,,
346,07/27/2024 18:30:00,25.716,,,
347,07/27/2024 18:40:00,25.695,,,
348,07/27/2024 18:50:00,25.662,,,
349,07/27/2024 19:00:00,25.630,,,
350,07/27/2024 19:10:00,25.587,,,
351,07/27/2024 19:20:00,25.544,,,
352,07/27/2024 19:30:00,25.469,,,
353,07/27/2024 19:40:00,25.405,,,
354,07/27/2024 19:50:00,25.341,,,
355,07/27/2024 20:00:00,25.287,,,
356,07/27/2024 20:10:00,25.244,,,
357,07/27/2024 20:20:00,25.201,,,
358,07/27/2024 20:30:00,25.158,,,
359,07/27/2024 20:40:00,25.115,,,
360,07/27/2024 20:50:00,25.073,,,
361,07/27/2024 21:00:00,25.030,,,
362,07/27/2024 21:10:00,24.997,,,
363,07/27/2024 21:20:00,24.965,,,
364,07/27/2024 21:30:00,24.922,,,
365,07/27/2024 21:40:00,24.890,,,
366,07/27/2024 21:50:00,24.858,,,
367,07/27/2024 22:00:00,24.826,,,
368,07/27/2024 22:10:00,24.804,,,
369,07/27/2024 22:20:00,24.783,,,
370,07/27/2024 22:30:00,24.761,,,
371,07/27/2024 22:40:00,24.740,,,
372,07/27/2024 22:50:00,24.697,,,
373,07/27/2024 23:00:00,24.429,,,
374,07/27/2024 23:10:00,24.268,,,
375,07/27/2024 23:20:00,24.225,,,
376,07/27/2024 23:30:00,24.161,,,
377,07/27/2024 23:40:00,24.075,,,
378,07/27/2024 23:50:00,24.011,,,
379,07/28/2024 00:00:00,23.968,,,
380,07/28/2024 00:10:00,23.936,,,
381,07/28/2024 00:20:00,23.914,,,
382,07/28/2024 00:30:00,23.903,,,
383,07/28/2024 00:40:00,23.882,,,
384,07/28/2024 00:50:00,23.850,,,
385,07/28/2024 01:00:00,23.828,,,
386,07/28/2024 01:10:00,23.807,,,
387,07/28/2024 01:20:00,23.796,,,
388,07/28/2024 01:30:00,23.796,,,
389,07/28/2024 01:40:00,23.775,,,
390,07/28/2024 01:50:00,23.764,,,
391,07/28/2024 02:00:00,23.753,,,
392,07/28/2024 02:10:00,23.732,,,
393,07/28/2024 02:20:00,23.732,,,
394,07/28/2024 02:30:00,23.710,,,
395,07/28/2024 02:40:00,23.689,,,
396,07/28/2024 02:50:00,23.678,,,
397,07/28/2024 03:00:00,23.657,,,
398,07/28/2024 03:10:00,23.646,,,
399,07/28/2024 03:20:00,23.635,,,
400,07/28/2024 03:30:00,23.625,,,
401,07/28/2024 03:40:00,23.603,,,
402,07/28/2024 03:50:00,23.592,,,
403,07/28/2024 04:00:00,23.592,,,
404,07/28/2024 04:10:00,23.592,,,
405,07/28/2024 04:20:00,23.582,,,
406,07/28/2024 04:30:00,23.560,,,
407,07/28/2024 04:40:00,23.517,,,
408,07/28/2024 04:50:00,23.453,,,
409,07/28/2024 05:00:00,23.410,,,
410,07/28/2024 05:10:00,23.367,,,
411,07/28/2024 05:20:00,23.356,,,
412,07/28/2024 05:30:00,23.346,,,
413,07/28/2024 05:40:00,23.335,,,
414,07/28/2024 05:50:00,23.324,,,
415,07/28/2024 06:00:00,23.303,,,
416,07/28/2024 06:10:00,23.303,,,
417,07/28/2024 06:20:00,23.292,,,
418,07/28/2024 06:30:00,23.281,,,
419,07/28/2024 06:40:00,23.271,,,
420,07/28/2024 06:50:00,23.292,,,
421,07/28/2024 07:00:00,23.303,,,
422,07/28/2024 07:10:00,23.303,,,
423,07/28/2024 07:20:00,23.335,,,
424,07/28/2024 07:30:00,23.356,,,
425,07/28/2024 07:40:00,23.378,,,
426,07/28/2024 07:50:00,23.389,,,
427,07/28/2024 08:00:00,23.399,,,
428,07/28/2024 08:10:00,23.378,,,
429,07/28/2024 08:20:00,23.378,,,
430,07/28/2024 08:30:00,23.367,,,
431,07/28/2024 08:40:00,23.356,,,
432,07/28/2024 08:50:00,23.335,,,
433,07/28/2024 09:00:00,23.335,,,
434,07/28/2024 09:10:00,23.367,,,
435,07/28/2024 09:20:00,23.421,,,
436,07/28/2024 09:30:00,23.485,,,
437,07/28/2024 09:40:00,23.560,,,
438,07/28/2024 09:50:00,23.646,,,
439,07/28/2024 10:00:00,23.764,,,
440,07/28/2024 10:10:00,23.882,,,
441,07/28/2024 10:20:00,24.021,,,
442,07/28/2024 10:30:00,24.193,,,
443,07/28/2024 10:40:00,24.311,,,
444,07/28/2024 10:50:00,24.515,,,
445,07/28/2024 11:00:00,24.686,,,
446,07/28/2024 11:10:00,24.869,,,
447,07/28/2024 11:20:00,25.030,,,
448,07/28/2024 11:30:00,25.233,,,
449,07/28/2024 11:40:00,25.373,,,
450,07/28/2024 11:50:00,25.523,,,
451,07/28/2024 12:00:00,25.459,,,
452,07/28/2024 12:10:00,25.437,,,
453,07/28/2024 12:20:00,25.459,,,
454,07/28/2024 12:30:00,25.748,,,
455,07/28/2024 12:40:00,26.177,,,
456,07/28/2024 12:50:00,26.499,,,
457,07/28/2024 13:00:00,26.413,,,
458,07/28/2024 13:10:00,26.306,,,
459,07/28/2024 13:20:00,26.402,,,
460,07/28/2024 13:30:00,26.435,,,
461,07/28/2024 13:40:00,26.510,,,
462,07/28/2024 13:50:00,26.595,,,
463,07/28/2024 14:00:00,26.724,,,
464,07/28/2024 14:10:00,26.660,,,
465,07/28/2024 14:20:00,26.756,,,
466,07/28/2024 14:30:00,26.756,,,
467,07/28/2024 14:40:00,26.864,,,
468,07/28/2024 14:50:00,26.939,,,
469,07/28/2024 15:00:00,26.982,,,
470,07/28/2024 15:10:00,26.939,,,
471,07/28/2024 15:20:00,26.885,,,
472,07/28/2024 15:30:00,26.906,,,
473,07/28/2024 15:40:00,26.928,,,
474,07/28/2024 15:50:00,26.971,,,
475,07/28/2024 16:00:00,27.003,,,
476,07/28/2024 16:10:00,27.046,,,
477,07/28/2024 16:20:00,27.046,,,
478,07/28/2024 16:30:00,27.078,,,
479,07/28/2024 16:40:00,27.100,,,
480,07/28/2024 16:50:00,27.132,,,
481,07/28/2024 17:00:00,27.132,,,
482,07/28/2024 17:10:00,27.132,,,
483,07/28/2024 17:20:00,27.142,,,
484,07/28/2024 17:30:00,27.132,,,
485,07/28/2024 17:40:00,27.110,,,
486,07/28/2024 17:50:00,27.089,,,
487,07/28/2024 18:00:00,27.057,,,
488,07/28/2024 18:10:00,27.024,,,
489,07/28/2024 18:20:00,26.982,,,
490,07/28/2024 18:30:00,26.939,,,
491,07/28/2024 18:40:00,26.896,,,
492,07/28/2024 18:50:00,26.842,,,
493,07/28/2024 19:00:00,26.778,,,
494,07/28/2024 19:10:00,26.660,,,
495,07/28/2024 19:20:00,26.563,,,
496,07/28/2024 19:30:00,26.499,,,
497,07/28/2024 19:40:00,26.435,,,
498,07/28/2024 19:50:00,26.392,,,
499,07/28/2024 20:00:00,26.338,,,
500,07/28/2024 20:10:00,26.274,,,
501,07/28/2024 20:20:00,26.220,,,
502,07/28/2024 20:30:00,26.177,,,
503,07/28/2024 20:40:00,26.134,,,
504,07/28/2024 20:50:00,26.091,,,
505,07/28/2024 21:00:00,26.048,,,
506,07/28/2024 21:10:00,26.006,,,
507,07/28/2024 21:20:00,25.973,,,
508,07/28/2024 21:30:00,25.931,,,
509,07/28/2024 21:40:00,25.898,,,
510,07/28/2024 21:50:00,25.866,,,
511,07/28/2024 22:00:00,25.834,,,
512,07/28/2024 22:10:00,25.802,,,
513,07/28/2024 22:20:00,25.759,,,
514,07/28/2024 22:30:00,25.737,,,
515,07/28/2024 22:40:00,25.705,,,
516,07/28/2024 22:50:00,25.673,,,
517,07/28/2024 23:00:00,25.641,,,
518,07/28/2024 23:10:00,25.619,,,
519,07/28/2024 23:20:00,25.598,,,
520,07/28/2024 23:30:00,25.577,,,
521,07/28/2024 23:40:00,25.544,,,
522,07/28/2024 23:50:00,25.534,,,
523,07/29/2024 00:00:00,25.523,,,
524,07/29/2024 00:10:00,25.502,,,
525,07/29/2024 00:20:00,25.480,,,
526,07/29/2024 00:30:00,25.469,,,
527,07/29/2024 00:40:00,25.459,,,
528,07/29/2024 00:50:00,25.437,,,
529,07/29/2024 01:00:00,25.416,,,
530,07/29/2024 01:10:00,25.394,,,
531,07/29/2024 01:20:00,25.351,,,
532,07/29/2024 01:30:00,25.341,,,
533,07/29/2024 01:40:00,25.298,,,
534,07/29/2024 01:50:00,25.276,,,
535,07/29/2024 02:00:00,25.244,,,
536,07/29/2024 02:10:00,25.212,,,
537,07/29/2024 02:20:00,25.180,,,
538,07/29/2024 02:30:00,25.169,,,
539,07/29/2024 02:40:00,25.158,,,
540,07/29/2024 02:50:00,25.148,,,
541,07/29/2024 03:00:00,25.148,,,
542,07/29/2024 03:10:00,25.126,,,
543,07/29/2024 03:20:00,25.094,,,
544,07/29/2024 03:30:00,25.083,,,
545,07/29/2024 03:40:00,25.062,,,
546,07/29/2024 03:50:00,25.030,,,
547,07/29/2024 04:00:00,24.987,,,
548,07/29/2024 04:10:00,24.965,,,
549,07/29/2024 04:20:00,24.933,,,
550,07/29/2024 04:30:00,24.901,,,
551,07/29/2024 04:40:00,24.879,,,
552,07/29/2024 04:50:00,24.858,,,
553,07/29/2024 05:00:00,24.858,,,
554,07/29/2024 05:10:00,24.837,,,
555,07/29/2024 05:20:00,24.847,,,
556,07/29/2024 05:30:00,24.837,,,
557,07/29/2024 05:40:00,24.826,,,
558,07/29/2024 05:50:00,24.826,,,
559,07/29/2024 06:00:00,24.826,,,
560,07/29/2024 06:10:00,24.815,,,
561,07/29/2024 06:20:00,24.729,,,
562,07/29/2024 06:30:00,24.686,,,
563,07/29/2024 06:40:00,24.654,,,
564,07/29/2024 06:50:00,24.622,,,
565,07/29/2024 07:00:00,24.590,,,
566,07/29/2024 07:10:00,24.568,,,
567,07/29/2024 07:20:00,24.547,,,
568,07/29/2024 07:30:00,24.536,,,
569,07/29/2024 07:40:00,24.526,,,
570,07/29/2024 07:50:00,24.526,,,
571,07/29/2024 08:00:00,24.536,,,
572,07/29/2024 08:10:00,24.547,,,
573,07/29/2024 08:20:00,24.547,,,
574,07/29/2024 08:30:00,24.504,,,
575,07/29/2024 08:40:00,24.461,,,
576,07/29/2024 08:50:00,24.300,,,
577,07/29/2024 09:00:00,24.021,,,
578,07/29/2024 09:10:00,23.796,,,
579,07/29/2024 09:20:00,23.657,,,
580,07/29/2024 09:30:00,23.614,,,
581,07/29/2024 09:40:00,23.592,,,
582,07/29/2024 09:50:00,23.496,,,
583,07/29/2024 10:00:00,23.356,,,
584,07/29/2024 10:10:00,23.260,,,
585,07/29/2024 10:20:00,23.271,,,
586,07/29/2024 10:30:00,23.228,,,
587,07/29/2024 10:40:00,23.163,,,
588,07/29/2024 10:50:00,23.131,,,
589,07/29/2024 11:00:00,23.099,,,
590,07/29/2024 11:10:00,23.067,,,
591,07/29/2024 11:20:00,23.045,,,
592,07/29/2024 11:30:00,23.045,,,
593,07/29/2024 11:40:00,23.045,,,
594,07/29/2024 11:50:00,23.056,,,
595,07/29/2024 12:00:00,23.067,,,
596,07/29/2024 12:10:00,23.099,,,
597,07/29/2024 12:20:00,23.142,,,
598,07/29/2024 12:30:00,23.217,,,
599,07/29/2024 12:40:00,23.303,,,
600,07/29/2024 12:50:00,23.356,,,
601,07/29/2024 13:00:00,23.442,,,
602,07/29/2024 13:10:00,23.496,,,
603,07/29/2024 13:20:00,23.550,,,
604,07/29/2024 13:30:00,23.550,,,
605,07/29/2024 13:40:00,23.592,,,
606,07/29/2024 13:50:00,23.625,,,
607,07/29/2024 14:00:00,23.710,,,
608,07/29/2024 14:10:00,24.097,,,
609,07/29/2024 14:20:00,24.247,,,
610,07/29/2024 14:30:00,24.343,,,
611,07/29/2024 14:40:00,24.461,,,
612,07/29/2024 14:50:00,24.558,,,
613,07/29/2024 15:00:00,24.686,,,
614,07/29/2024 15:10:00,24.740,,,
615,07/29/2024 15:20:00,24.772,,,
616,07/29/2024 15:30:00,24.837,,,
617,07/29/2024 15:40:00,24.922,,,
618,07/29/2024 15:50:00,24.997,,,
619,07/29/2024 16:00:00,25.137,,,
620,07/29/2024 16:10:00,25.287,,,
621,07/29/2024 16:20:00,25.416,,,
622,07/29/2024 16:30:00,25.502,,,
623,07/29/2024 16:40:00,25.523,,,
624,07/29/2024 16:50:00,25.662,,,
625,07/29/2024 17:00:00,25.802,,,
626,07/29/2024 17:10:00,25.748,,,
627,07/29/2024 17:20:00,25.748,,,
628,07/29/2024 17:30:00,25.716,,,
629,07/29/2024 17:40:00,25.759,,,
630,07/29/2024 17:50:00,25.748,,,
631,07/29/2024 18:00:00,25.748,,,
