#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Host Connected,End of File
1243,08/03/2024 00:00:00,25.791,,,,
140,08/04/2024 12:10:00,26.220,,
141,08/04/2024 12:20:00,26.402,,
142,08/04/2024 12:30:00,26.553,,
143,08/04/2024 12:40:00,26.692,,
144,08/04/2024 12:50:00,26.789,,
145,08/04/2024 13:00:00,26.735,,
146,08/04/2024 13:10:00,26.789,,
147,08/04/2024 13:20:00,26.992,,
148,08/04/2024 13:30:00,27.142,,
149,08/04/2024 13:40:00,27.228,,
150,08/04/2024 13:50:00,27.303,,
151,08/04/2024 14:00:00,27.432,,
152,08/04/2024 14:10:00,27.486,,
153,08/04/2024 14:20:00,27.507,,
154,08/04/2024 14:30:00,27.582,,
155,08/04/2024 14:40:00,27.561,,
156,08/04/2024 14:50:00,27.636,,
157,08/04/2024 15:00:00,27.518,,
158,08/04/2024 15:10:00,27.443,,
159,08/04/2024 15:20:00,27.400,,
160,08/04/2024 15:30:00,27.421,,
161,08/04/2024 15:40:00,27.400,,
162,08/04/2024 15:50:00,27.464,,
163,08/04/2024 16:00:00,27.411,,
164,08/04/2024 16:10:00,27.389,,
165,08/04/2024 16:20:00,27.539,,
166,08/04/2024 16:30:00,27.561,,
167,08/04/2024 16:40:00,27.561,,
168,08/04/2024 16:50:00,27.550,,
169,08/04/2024 17:00:00,27.550,,
170,08/04/2024 17:10:00,27.539,,
171,08/04/2024 17:20:00,27.496,,
172,08/04/2024 17:30:00,27.496,,
173,08/04/2024 17:40:00,27.475,,
174,08/04/2024 17:50:00,27.400,,
175,08/04/2024 18:00:00,27.357,,
176,08/04/2024 18:10:00,27.271,,
177,08/04/2024 18:20:00,27.207,,
178,08/04/2024 18:30:00,27.142,,
179,08/04/2024 18:40:00,27.100,,
180,08/04/2024 18:50:00,27.057,,
181,08/04/2024 19:00:00,27.024,,
182,08/04/2024 19:10:00,26.949,,
183,08/04/2024 19:20:00,26.896,,
184,08/04/2024 19:30:00,26.831,,
185,08/04/2024 19:40:00,26.746,,
186,08/04/2024 19:50:00,26.681,,
187,08/04/2024 20:00:00,26.606,,
188,08/04/2024 20:10:00,26.553,,
189,08/04/2024 20:20:00,26.456,,
190,08/04/2024 20:30:00,26.413,,
191,08/04/2024 20:40:00,26.370,,
192,08/04/2024 20:50:00,26.317,,
193,08/04/2024 21:00:00,26.231,,
194,08/04/2024 21:10:00,26.199,,
195,08/04/2024 21:20:00,26.177,,
196,08/04/2024 21:30:00,26.124,,
197,08/04/2024 21:40:00,26.091,,
198,08/04/2024 21:50:00,26.027,,
199,08/04/2024 22:00:00,25.973,,
200,08/04/2024 22:10:00,25.941,,
201,08/04/2024 22:20:00,25.898,,
202,08/04/2024 22:30:00,25.866,,
203,08/04/2024 22:40:00,25.813,,
204,08/04/2024 22:50:00,25.780,,
205,08/04/2024 23:00:00,25.737,,
206,08/04/2024 23:10:00,25.684,,
207,08/04/2024 23:20:00,25.630,,
208,08/04/2024 23:30:00,25.609,,
209,08/04/2024 23:40:00,25.544,,
210,08/04/2024 23:50:00,25.523,,
211,08/05/2024 00:00:00,25.448,,
212,08/05/2024 00:10:00,25.437,,
213,08/05/2024 00:20:00,25.394,,
214,08/05/2024 00:30:00,25.351,,
215,08/05/2024 00:40:00,25.298,,
216,08/05/2024 00:50:00,25.255,,
217,08/05/2024 01:00:00,25.212,,
218,08/05/2024 01:10:00,25.201,,
219,08/05/2024 01:20:00,25.148,,
220,08/05/2024 01:30:00,25.115,,
221,08/05/2024 01:40:00,25.083,,
222,08/05/2024 01:50:00,25.051,,
223,08/05/2024 02:00:00,25.008,,
224,08/05/2024 02:10:00,24.987,,
225,08/05/2024 02:20:00,24.965,,
226,08/05/2024 02:30:00,24.890,,
227,08/05/2024 02:40:00,24.858,,
228,08/05/2024 02:50:00,24.794,,
229,08/05/2024 03:00:00,24.761,,
230,08/05/2024 03:10:00,24.708,,
231,08/05/2024 03:20:00,24.665,,
232,08/05/2024 03:30:00,24.601,,
233,08/05/2024 03:40:00,24.547,,
234,08/05/2024 03:50:00,24.504,,
235,08/05/2024 04:00:00,24.429,,
236,08/05/2024 04:10:00,24.418,,
237,08/05/2024 04:20:00,24.375,,
238,08/05/2024 04:30:00,24.322,,
239,08/05/2024 04:40:00,24.268,,
240,08/05/2024 04:50:00,24.204,,
241,08/05/2024 05:00:00,24.172,,
242,08/05/2024 05:10:00,24.161,,
243,08/05/2024 05:20:00,24.064,,
244,08/05/2024 05:30:00,24.064,,
245,08/05/2024 05:40:00,23.989,,
246,08/05/2024 05:50:00,23.968,,
247,08/05/2024 06:00:00,23.914,,
248,08/05/2024 06:10:00,23.882,,
249,08/05/2024 06:20:00,23.818,,
250,08/05/2024 06:30:00,23.818,,
251,08/05/2024 06:40:00,23.785,,
252,08/05/2024 06:50:00,23.753,,
253,08/05/2024 07:00:00,23.732,,
254,08/05/2024 07:10:00,23.689,,
255,08/05/2024 07:20:00,23.700,,
256,08/05/2024 07:30:00,23.678,,
257,08/05/2024 07:40:00,23.689,,
258,08/05/2024 07:50:00,23.689,,
259,08/05/2024 08:00:00,23.732,,
260,08/05/2024 08:10:00,23.764,,
261,08/05/2024 08:20:00,23.753,,
262,08/05/2024 08:30:00,23.796,,
263,08/05/2024 08:40:00,23.850,,
264,08/05/2024 08:50:00,23.925,,
265,08/05/2024 09:00:00,23.957,,
266,08/05/2024 09:10:00,24.064,,
267,08/05/2024 09:20:00,24.054,,
268,08/05/2024 09:30:00,24.097,,
269,08/05/2024 09:40:00,24.193,,
270,08/05/2024 09:50:00,24.300,,
271,08/05/2024 10:00:00,24.332,,
272,08/05/2024 10:10:00,24.408,,
273,08/05/2024 10:20:00,24.515,,
274,08/05/2024 10:30:00,24.740,,
275,08/05/2024 10:40:00,24.987,,
276,08/05/2024 10:50:00,25.030,,
277,08/05/2024 11:00:00,25.148,,
278,08/05/2024 11:10:00,25.341,,
279,08/05/2024 11:20:00,25.469,,
280,08/05/2024 11:30:00,25.534,,
281,08/05/2024 11:40:00,25.673,,
282,08/05/2024 11:50:00,25.813,,
283,08/05/2024 12:00:00,25.984,,
284,08/05/2024 12:10:00,26.102,,
285,08/05/2024 12:20:00,26.166,,
286,08/05/2024 12:30:00,26.413,,
287,08/05/2024 12:40:00,26.488,,
288,08/05/2024 12:50:00,26.563,,
289,08/05/2024 13:00:00,26.692,,
290,08/05/2024 13:10:00,26.864,,
291,08/05/2024 13:20:00,26.982,,
292,08/05/2024 13:30:00,26.992,,
293,08/05/2024 13:40:00,27.196,,
294,08/05/2024 13:50:00,27.271,,
295,08/05/2024 14:00:00,27.432,,
296,08/05/2024 14:10:00,27.368,,
297,08/05/2024 14:20:00,27.518,,
298,08/05/2024 14:30:00,27.582,,
299,08/05/2024 14:40:00,27.689,,
300,08/05/2024 14:50:00,27.786,,
301,08/05/2024 15:00:00,27.882,,
302,08/05/2024 15:10:00,28.011,,
303,08/05/2024 15:20:00,28.151,,
304,08/05/2024 15:30:00,28.236,,
305,08/05/2024 15:40:00,28.354,,
306,08/05/2024 15:50:00,28.397,,
307,08/05/2024 16:00:00,28.462,,
308,08/05/2024 16:10:00,28.601,,
309,08/05/2024 16:20:00,28.708,,
310,08/05/2024 16:30:00,28.569,,
311,08/05/2024 16:40:00,28.440,,
312,08/05/2024 16:50:00,28.290,,
313,08/05/2024 17:00:00,28.183,,
314,08/05/2024 17:10:00,28.108,,
315,08/05/2024 17:20:00,28.033,,
316,08/05/2024 17:30:00,27.958,,
317,08/05/2024 17:40:00,27.915,,
318,08/05/2024 17:50:00,27.861,,
319,08/05/2024 18:00:00,27.775,,
320,08/05/2024 18:10:00,27.679,,
321,08/05/2024 18:20:00,27.561,,
322,08/05/2024 18:30:00,27.443,,
323,08/05/2024 18:40:00,27.357,,
324,08/05/2024 18:50:00,27.260,,
325,08/05/2024 19:00:00,27.153,,
326,08/05/2024 19:10:00,27.067,,
327,08/05/2024 19:20:00,26.992,,
328,08/05/2024 19:30:00,26.896,,
329,08/05/2024 19:40:00,26.789,,
330,08/05/2024 19:50:00,26.703,,
331,08/05/2024 20:00:00,26.595,,
332,08/05/2024 20:10:00,26.510,,
333,08/05/2024 20:20:00,26.402,,
334,08/05/2024 20:30:00,26.317,,
335,08/05/2024 20:40:00,26.209,,
336,08/05/2024 20:50:00,26.124,,
337,08/05/2024 21:00:00,26.070,,
338,08/05/2024 21:10:00,25.952,,
339,08/05/2024 21:20:00,25.888,,
340,08/05/2024 21:30:00,25.813,,
341,08/05/2024 21:40:00,25.716,,
342,08/05/2024 21:50:00,25.630,,
343,08/05/2024 22:00:00,25.544,,
344,08/05/2024 22:10:00,25.480,,
345,08/05/2024 22:20:00,25.373,,
346,08/05/2024 22:30:00,25.287,,
347,08/05/2024 22:40:00,25.212,,
348,08/05/2024 22:50:00,25.137,,
349,08/05/2024 23:00:00,25.073,,
350,08/05/2024 23:10:00,24.976,,
351,08/05/2024 23:20:00,24.912,,
352,08/05/2024 23:30:00,24.837,,
353,08/05/2024 23:40:00,24.772,,
354,08/05/2024 23:50:00,24.729,,
355,08/06/2024 00:00:00,24.665,,
356,08/06/2024 00:10:00,24.579,,
357,08/06/2024 00:20:00,24.536,,
358,08/06/2024 00:30:00,24.440,,
359,08/06/2024 00:40:00,24.375,,
360,08/06/2024 00:50:00,24.322,,
361,08/06/2024 01:00:00,24.268,,
362,08/06/2024 01:10:00,24.214,,
363,08/06/2024 01:20:00,24.107,,
364,08/06/2024 01:30:00,24.075,,
365,08/06/2024 01:40:00,24.011,,
366,08/06/2024 01:50:00,23.957,,
367,08/06/2024 02:00:00,23.893,,
368,08/06/2024 02:10:00,23.828,,
369,08/06/2024 02:20:00,23.775,,
370,08/06/2024 02:30:00,23.689,,
371,08/06/2024 02:40:00,23.646,,
372,08/06/2024 02:50:00,23.592,,
373,08/06/2024 03:00:00,23.550,,
374,08/06/2024 03:10:00,23.464,,
375,08/06/2024 03:20:00,23.410,,
376,08/06/2024 03:30:00,23.324,,
377,08/06/2024 03:40:00,23.314,,
378,08/06/2024 03:50:00,23.239,,
379,08/06/2024 04:00:00,23.196,,
380,08/06/2024 04:10:00,23.131,,
381,08/06/2024 04:20:00,23.099,,
382,08/06/2024 04:30:00,23.056,,
383,08/06/2024 04:40:00,22.992,,
384,08/06/2024 04:50:00,22.960,,
385,08/06/2024 05:00:00,22.906,,
386,08/06/2024 05:10:00,22.885,,
387,08/06/2024 05:20:00,22.852,,
388,08/06/2024 05:30:00,22.820,,
389,08/06/2024 05:40:00,22.788,,
390,08/06/2024 05:50:00,22.756,,
391,08/06/2024 06:00:00,22.724,,
392,08/06/2024 06:10:00,22.692,,
393,08/06/2024 06:20:00,22.649,,
394,08/06/2024 06:30:00,22.638,,
395,08/06/2024 06:40:00,22.606,,
396,08/06/2024 06:50:00,22.627,,
397,08/06/2024 07:00:00,22.638,,
398,08/06/2024 07:10:00,22.616,,
399,08/06/2024 07:20:00,22.638,,
400,08/06/2024 07:30:00,22.670,,
401,08/06/2024 07:40:00,22.702,,
402,08/06/2024 07:50:00,22.724,,
403,08/06/2024 08:00:00,22.756,,
404,08/06/2024 08:10:00,22.788,,
405,08/06/2024 08:20:00,22.820,,
406,08/06/2024 08:30:00,22.874,,
407,08/06/2024 08:40:00,23.003,,
408,08/06/2024 08:50:00,23.056,,
409,08/06/2024 09:00:00,23.121,,
410,08/06/2024 09:10:00,23.206,,
411,08/06/2024 09:20:00,23.271,,
412,08/06/2024 09:30:00,23.335,,
413,08/06/2024 09:40:00,23.453,,
414,08/06/2024 09:50:00,23.560,,
415,08/06/2024 10:00:00,23.668,,
416,08/06/2024 10:10:00,23.753,,
417,08/06/2024 10:20:00,23.882,,
418,08/06/2024 10:30:00,24.118,,
419,08/06/2024 10:40:00,24.300,,
420,08/06/2024 10:50:00,24.418,,
421,08/06/2024 11:00:00,24.547,,
422,08/06/2024 11:10:00,24.686,,
423,08/06/2024 11:20:00,24.847,,
424,08/06/2024 11:30:00,25.019,,
425,08/06/2024 11:40:00,25.190,,
426,08/06/2024 11:50:00,25.394,,
427,08/06/2024 12:00:00,25.609,,
428,08/06/2024 12:10:00,25.748,,
429,08/06/2024 12:20:00,25.973,,
430,08/06/2024 12:30:00,26.113,,
431,08/06/2024 12:40:00,26.295,,
432,08/06/2024 12:50:00,26.392,,
433,08/06/2024 13:00:00,26.542,,
434,08/06/2024 13:10:00,26.681,,
435,08/06/2024 13:20:00,26.864,,
436,08/06/2024 13:30:00,27.003,,
437,08/06/2024 13:40:00,27.089,,
438,08/06/2024 13:50:00,27.196,,
439,08/06/2024 14:00:00,27.293,,
440,08/06/2024 14:10:00,27.453,,
441,08/06/2024 14:20:00,27.539,,
442,08/06/2024 14:30:00,27.657,,
443,08/06/2024 14:40:00,27.775,,
444,08/06/2024 14:50:00,27.861,,
445,08/06/2024 15:00:00,27.904,,
446,08/06/2024 15:10:00,28.022,,
447,08/06/2024 15:20:00,28.129,,
448,08/06/2024 15:30:00,27.990,,
449,08/06/2024 15:40:00,28.118,,
450,08/06/2024 15:50:00,28.108,,
451,08/06/2024 16:00:00,28.236,,
452,08/06/2024 16:10:00,28.290,,
453,08/06/2024 16:20:00,28.333,,
454,08/06/2024 16:30:00,28.365,,
455,08/06/2024 16:40:00,28.311,,
456,08/06/2024 16:50:00,28.247,,
457,08/06/2024 17:00:00,28.151,,
458,08/06/2024 17:10:00,28.226,,
459,08/06/2024 17:20:00,28.108,,
460,08/06/2024 17:30:00,28.194,,
461,08/06/2024 17:40:00,28.140,,
462,08/06/2024 17:50:00,28.043,,
463,08/06/2024 18:00:00,28.011,,
464,08/06/2024 18:10:00,27.958,,
465,08/06/2024 18:20:00,27.882,,
466,08/06/2024 18:30:00,27.807,,
467,08/06/2024 18:40:00,27.711,,
468,08/06/2024 18:50:00,27.636,,
469,08/06/2024 19:00:00,27.561,,
470,08/06/2024 19:10:00,27.475,,
471,08/06/2024 19:20:00,27.400,,
472,08/06/2024 19:30:00,27.314,,
473,08/06/2024 19:40:00,27.260,,
474,08/06/2024 19:50:00,27.164,,
475,08/06/2024 20:00:00,27.078,,
476,08/06/2024 20:10:00,26.971,,
477,08/06/2024 20:20:00,26.885,,
478,08/06/2024 20:30:00,26.799,,
479,08/06/2024 20:40:00,26.724,,
480,08/06/2024 20:50:00,26.649,,
481,08/06/2024 21:00:00,26.574,,
482,08/06/2024 21:10:00,26.477,,
483,08/06/2024 21:20:00,26.402,,
484,08/06/2024 21:30:00,26.317,,
485,08/06/2024 21:40:00,26.242,,
486,08/06/2024 21:50:00,26.188,,
487,08/06/2024 22:00:00,26.091,,
488,08/06/2024 22:10:00,26.006,,
489,08/06/2024 22:20:00,25.952,,
490,08/06/2024 22:30:00,25.877,,
491,08/06/2024 22:40:00,25.813,,
492,08/06/2024 22:50:00,25.737,,
493,08/06/2024 23:00:00,25.662,,
494,08/06/2024 23:10:00,25.587,,
495,08/06/2024 23:20:00,25.523,,
496,08/06/2024 23:30:00,25.459,,
497,08/06/2024 23:40:00,25.362,,
498,08/06/2024 23:50:00,25.319,,
499,08/07/2024 00:00:00,25.266,,
500,08/07/2024 00:10:00,25.201,,
501,08/07/2024 00:20:00,25.137,,
502,08/07/2024 00:30:00,25.094,,
503,08/07/2024 00:40:00,25.040,,
504,08/07/2024 00:50:00,24.987,,
505,08/07/2024 01:00:00,24.933,,
506,08/07/2024 01:10:00,24.879,,
507,08/07/2024 01:20:00,24.826,,
508,08/07/2024 01:30:00,24.783,,
509,08/07/2024 01:40:00,24.719,,
510,08/07/2024 01:50:00,24.686,,
511,08/07/2024 02:00:00,24.622,,
512,08/07/2024 02:10:00,24.568,,
513,08/07/2024 02:20:00,24.526,,
514,08/07/2024 02:30:00,24.472,,
515,08/07/2024 02:40:00,24.440,,
516,08/07/2024 02:50:00,24.397,,
517,08/07/2024 03:00:00,24.354,,
518,08/07/2024 03:10:00,24.311,,
519,08/07/2024 03:20:00,24.268,,
520,08/07/2024 03:30:00,24.204,,
521,08/07/2024 03:40:00,24.172,,
522,08/07/2024 03:50:00,24.107,,
523,08/07/2024 04:00:00,24.075,,
524,08/07/2024 04:10:00,24.021,,
525,08/07/2024 04:20:00,24.011,,
526,08/07/2024 04:30:00,24.000,,
527,08/07/2024 04:40:00,23.979,,
528,08/07/2024 04:50:00,23.957,,
529,08/07/2024 05:00:00,23.871,,
530,08/07/2024 05:10:00,23.871,,
531,08/07/2024 05:20:00,23.839,,
532,08/07/2024 05:30:00,23.818,,
533,08/07/2024 05:40:00,23.807,,
534,08/07/2024 05:50:00,23.753,,
535,08/07/2024 06:00:00,23.753,,
536,08/07/2024 06:10:00,23.732,,
537,08/07/2024 06:20:00,23.732,,
538,08/07/2024 06:30:00,23.732,,
539,08/07/2024 06:40:00,23.721,,
540,08/07/2024 06:50:00,23.710,,
541,08/07/2024 07:00:00,23.732,,
542,08/07/2024 07:10:00,23.764,,
543,08/07/2024 07:20:00,23.764,,
544,08/07/2024 07:30:00,23.796,,
545,08/07/2024 07:40:00,23.796,,
546,08/07/2024 07:50:00,23.871,,
547,08/07/2024 08:00:00,23.882,,
548,08/07/2024 08:10:00,23.936,,
549,08/07/2024 08:20:00,23.979,,
550,08/07/2024 08:30:00,24.032,,
551,08/07/2024 08:40:00,24.097,,
552,08/07/2024 08:50:00,24.182,,
553,08/07/2024 09:00:00,24.290,,
554,08/07/2024 09:10:00,24.332,,
555,08/07/2024 09:20:00,24.375,,
556,08/07/2024 09:30:00,24.440,,
557,08/07/2024 09:40:00,24.526,,
558,08/07/2024 09:50:00,24.590,,
559,08/07/2024 10:00:00,24.686,,
560,08/07/2024 10:10:00,24.740,,
561,08/07/2024 10:20:00,24.815,,
562,08/07/2024 10:30:00,24.912,,
563,08/07/2024 10:40:00,24.997,,
564,08/07/2024 10:50:00,25.266,,
565,08/07/2024 11:00:00,25.384,,
566,08/07/2024 11:10:00,25.502,,
567,08/07/2024 11:20:00,25.641,,
568,08/07/2024 11:30:00,25.780,,
569,08/07/2024 11:40:00,25.920,,
570,08/07/2024 11:50:00,26.134,,
571,08/07/2024 12:00:00,26.317,,
572,08/07/2024 12:10:00,26.531,,
573,08/07/2024 12:20:00,26.585,,
574,08/07/2024 12:30:00,26.810,,
575,08/07/2024 12:40:00,27.014,,
576,08/07/2024 12:50:00,27.132,,
