#,Date-Time (U.S. Outlying Islands Standard Time),Temperature   (°C),Button Down,Host Connected,Button Up,End of File
191,07/26/2024 16:40:00,29.159,,,,
192,07/26/2024 16:50:00,29.212,,,,
193,07/26/2024 17:00:00,29.212,,,,
194,07/26/2024 17:10:00,28.987,,,,
195,07/26/2024 17:20:00,28.891,,,,
196,07/26/2024 17:30:00,28.826,,,,
197,07/26/2024 17:40:00,28.783,,,,
198,07/26/2024 17:50:00,28.708,,,,
199,07/26/2024 18:00:00,28.644,,,,
200,07/26/2024 18:10:00,28.547,,,,
201,07/26/2024 18:20:00,28.505,,,,
202,07/26/2024 18:30:00,28.440,,,,
203,07/26/2024 18:40:00,28.376,,,,
204,07/26/2024 18:50:00,28.333,,,,
205,07/26/2024 19:00:00,28.258,,,,
206,07/26/2024 19:10:00,28.215,,,,
207,07/26/2024 19:20:00,28.183,,,,
208,07/26/2024 19:30:00,28.097,,,,
209,07/26/2024 19:40:00,28.043,,,,
210,07/26/2024 19:50:00,27.925,,,,
211,07/26/2024 20:00:00,27.861,,,,
212,07/26/2024 20:10:00,27.765,,,,
213,07/26/2024 20:20:00,27.700,,,,
214,07/26/2024 20:30:00,27.593,,,,
215,07/26/2024 20:40:00,27.539,,,,
216,07/26/2024 20:50:00,27.475,,,,
217,07/26/2024 21:00:00,27.389,,,,
218,07/26/2024 21:10:00,27.336,,,,
219,07/26/2024 21:20:00,27.282,,,,
220,07/26/2024 21:30:00,27.207,,,,
221,07/26/2024 21:40:00,27.153,,,,
222,07/26/2024 21:50:00,27.078,,,,
223,07/26/2024 22:00:00,27.035,,,,
224,07/26/2024 22:10:00,26.960,,,,
225,07/26/2024 22:20:00,26.896,,,,
226,07/26/2024 22:30:00,26.842,,,,
227,07/26/2024 22:40:00,26.789,,,,
228,07/26/2024 22:50:00,26.767,,,,
229,07/26/2024 23:00:00,26.703,,,,
230,07/26/2024 23:10:00,26.638,,,,
231,07/26/2024 23:20:00,26.595,,,,
232,07/26/2024 23:30:00,26.553,,,,
233,07/26/2024 23:40:00,26.488,,,,
234,07/26/2024 23:50:00,26.445,,,,
235,07/27/2024 00:00:00,26.360,,,,
236,07/27/2024 00:10:00,26.295,,,,
237,07/27/2024 00:20:00,26.231,,,,
238,07/27/2024 00:30:00,26.220,,,,
239,07/27/2024 00:40:00,26.156,,,,
240,07/27/2024 00:50:00,26.124,,,,
241,07/27/2024 01:00:00,26.038,,,,
242,07/27/2024 01:10:00,25.888,,,,
243,07/27/2024 01:20:00,25.802,,,,
244,07/27/2024 01:30:00,25.673,,,,
245,07/27/2024 01:40:00,25.587,,,,
246,07/27/2024 01:50:00,25.523,,,,
247,07/27/2024 02:00:00,25.437,,,,
248,07/27/2024 02:10:00,25.351,,,,
249,07/27/2024 02:20:00,25.255,,,,
250,07/27/2024 02:30:00,25.201,,,,
251,07/27/2024 02:40:00,25.105,,,,
252,07/27/2024 02:50:00,25.051,,,,
253,07/27/2024 03:00:00,24.997,,,,
254,07/27/2024 03:10:00,24.955,,,,
255,07/27/2024 03:20:00,24.901,,,,
256,07/27/2024 03:30:00,24.858,,,,
257,07/27/2024 03:40:00,24.815,,,,
258,07/27/2024 03:50:00,24.772,,,,
259,07/27/2024 04:00:00,24.729,,,,
260,07/27/2024 04:10:00,24.729,,,,
261,07/27/2024 04:20:00,24.719,,,,
262,07/27/2024 04:30:00,24.686,,,,
263,07/27/2024 04:40:00,24.676,,,,
264,07/27/2024 04:50:00,24.633,,,,
265,07/27/2024 05:00:00,24.622,,,,
266,07/27/2024 05:10:00,24.611,,,,
267,07/27/2024 05:20:00,24.590,,,,
268,07/27/2024 05:30:00,24.579,,,,
269,07/27/2024 05:40:00,24.547,,,,
270,07/27/2024 05:50:00,24.547,,,,
271,07/27/2024 06:00:00,24.536,,,,
272,07/27/2024 06:10:00,24.504,,,,
273,07/27/2024 06:20:00,24.472,,,,
274,07/27/2024 06:30:00,24.429,,,,
275,07/27/2024 06:40:00,24.397,,,,
276,07/27/2024 06:50:00,24.354,,,,
277,07/27/2024 07:00:00,24.300,,,,
278,07/27/2024 07:10:00,24.279,,,,
279,07/27/2024 07:20:00,24.257,,,,
280,07/27/2024 07:30:00,24.268,,,,
281,07/27/2024 07:40:00,24.257,,,,
282,07/27/2024 07:50:00,24.290,,,,
283,07/27/2024 08:00:00,24.332,,,,
284,07/27/2024 08:10:00,24.354,,,,
285,07/27/2024 08:20:00,24.397,,,,
286,07/27/2024 08:30:00,24.408,,,,
287,07/27/2024 08:40:00,24.440,,,,
288,07/27/2024 08:50:00,24.568,,,,
289,07/27/2024 09:00:00,24.601,,,,
290,07/27/2024 09:10:00,24.676,,,,
291,07/27/2024 09:20:00,24.772,,,,
292,07/27/2024 09:30:00,24.815,,,,
293,07/27/2024 09:40:00,24.912,,,,
294,07/27/2024 09:50:00,24.976,,,,
295,07/27/2024 10:00:00,24.997,,,,
296,07/27/2024 10:10:00,25.083,,,,
297,07/27/2024 10:20:00,25.201,,,,
298,07/27/2024 10:30:00,25.502,,,,
299,07/27/2024 10:40:00,25.662,,,,
300,07/27/2024 10:50:00,25.866,,,,
301,07/27/2024 11:00:00,26.059,,,,
302,07/27/2024 11:10:00,26.209,,,,
303,07/27/2024 11:20:00,26.392,,,,
304,07/27/2024 11:30:00,26.467,,,,
305,07/27/2024 11:40:00,26.392,,,,
306,07/27/2024 11:50:00,26.124,,,,
307,07/27/2024 12:00:00,25.737,,,,
308,07/27/2024 12:10:00,25.587,,,,
309,07/27/2024 12:20:00,25.502,,,,
310,07/27/2024 12:30:00,25.469,,,,
311,07/27/2024 12:40:00,25.469,,,,
312,07/27/2024 12:50:00,25.448,,,,
313,07/27/2024 13:00:00,25.437,,,,
314,07/27/2024 13:10:00,25.437,,,,
315,07/27/2024 13:20:00,25.469,,,,
316,07/27/2024 13:30:00,25.502,,,,
317,07/27/2024 13:40:00,25.577,,,,
318,07/27/2024 13:50:00,25.587,,,,
319,07/27/2024 14:00:00,25.684,,,,
320,07/27/2024 14:10:00,25.748,,,,
321,07/27/2024 14:20:00,25.502,,,,
322,07/27/2024 14:30:00,25.266,,,,
323,07/27/2024 14:40:00,25.201,,,,
324,07/27/2024 14:50:00,25.169,,,,
325,07/27/2024 15:00:00,25.137,,,,
326,07/27/2024 15:10:00,25.051,,,,
327,07/27/2024 15:20:00,25.062,,,,
328,07/27/2024 15:30:00,25.083,,,,
329,07/27/2024 15:40:00,25.126,,,,
330,07/27/2024 15:50:00,25.190,,,,
331,07/27/2024 16:00:00,25.276,,,,
332,07/27/2024 16:10:00,25.459,,,,
333,07/27/2024 16:20:00,25.502,,,,
334,07/27/2024 16:30:00,25.566,,,,
335,07/27/2024 16:40:00,25.523,,,,
336,07/27/2024 16:50:00,25.534,,,,
337,07/27/2024 17:00:00,25.652,,,,
338,07/27/2024 17:10:00,25.641,,,,
339,07/27/2024 17:20:00,25.652,,,,
340,07/27/2024 17:30:00,25.641,,,,
341,07/27/2024 17:40:00,25.652,,,,
342,07/27/2024 17:50:00,25.630,,,,
343,07/27/2024 18:00:00,25.673,,,,
344,07/27/2024 18:10:00,25.695,,,,
345,07/27/2024 18:20:00,25.695,,,,
346,07/27/2024 18:30:00,25.684,,,,
347,07/27/2024 18:40:00,25.705,,,,
348,07/27/2024 18:50:00,25.673,,,,
349,07/27/2024 19:00:00,25.673,,,,
350,07/27/2024 19:10:00,25.609,,,,
351,07/27/2024 19:20:00,25.566,,,,
352,07/27/2024 19:30:00,25.512,,,,
353,07/27/2024 19:40:00,25.459,,,,
354,07/27/2024 19:50:00,25.394,,,,
355,07/27/2024 20:00:00,25.362,,,,
356,07/27/2024 20:10:00,25.308,,,,
357,07/27/2024 20:20:00,25.266,,,,
358,07/27/2024 20:30:00,25.223,,,,
359,07/27/2024 20:40:00,25.180,,,,
360,07/27/2024 20:50:00,25.148,,,,
361,07/27/2024 21:00:00,25.094,,,,
362,07/27/2024 21:10:00,25.073,,,,
363,07/27/2024 21:20:00,25.030,,,,
364,07/27/2024 21:30:00,25.008,,,,
365,07/27/2024 21:40:00,24.955,,,,
366,07/27/2024 21:50:00,24.933,,,,
367,07/27/2024 22:00:00,24.890,,,,
368,07/27/2024 22:10:00,24.858,,,,
369,07/27/2024 22:20:00,24.847,,,,
370,07/27/2024 22:30:00,24.826,,,,
371,07/27/2024 22:40:00,24.794,,,,
372,07/27/2024 22:50:00,24.772,,,,
373,07/27/2024 23:00:00,24.332,,,,
374,07/27/2024 23:10:00,24.225,,,,
375,07/27/2024 23:20:00,24.193,,,,
376,07/27/2024 23:30:00,24.097,,,,
377,07/27/2024 23:40:00,24.021,,,,
378,07/27/2024 23:50:00,23.968,,,,
379,07/28/2024 00:00:00,23.925,,,,
380,07/28/2024 00:10:00,23.925,,,,
381,07/28/2024 00:20:00,23.871,,,,
382,07/28/2024 00:30:00,23.850,,,,
383,07/28/2024 00:40:00,23.861,,,,
384,07/28/2024 00:50:00,23.818,,,,
385,07/28/2024 01:00:00,23.785,,,,
386,07/28/2024 01:10:00,23.775,,,,
387,07/28/2024 01:20:00,23.775,,,,
388,07/28/2024 01:30:00,23.764,,,,
389,07/28/2024 01:40:00,23.753,,,,
390,07/28/2024 01:50:00,23.732,,,,
391,07/28/2024 02:00:00,23.732,,,,
392,07/28/2024 02:10:00,23.710,,,,
393,07/28/2024 02:20:00,23.721,,,,
394,07/28/2024 02:30:00,23.678,,,,
395,07/28/2024 02:40:00,23.678,,,,
396,07/28/2024 02:50:00,23.657,,,,
397,07/28/2024 03:00:00,23.657,,,,
398,07/28/2024 03:10:00,23.635,,,,
399,07/28/2024 03:20:00,23.646,,,,
400,07/28/2024 03:30:00,23.614,,,,
401,07/28/2024 03:40:00,23.603,,,,
402,07/28/2024 03:50:00,23.571,,,,
403,07/28/2024 04:00:00,23.592,,,,
404,07/28/2024 04:10:00,23.582,,,,
405,07/28/2024 04:20:00,23.560,,,,
406,07/28/2024 04:30:00,23.560,,,,
407,07/28/2024 04:40:00,23.528,,,,
408,07/28/2024 04:50:00,23.464,,,,
409,07/28/2024 05:00:00,23.421,,,,
410,07/28/2024 05:10:00,23.356,,,,
411,07/28/2024 05:20:00,23.356,,,,
412,07/28/2024 05:30:00,23.389,,,,
413,07/28/2024 05:40:00,23.356,,,,
414,07/28/2024 05:50:00,23.335,,,,
415,07/28/2024 06:00:00,23.335,,,,
416,07/28/2024 06:10:00,23.303,,,,
417,07/28/2024 06:20:00,23.271,,,,
418,07/28/2024 06:30:00,23.303,,,,
419,07/28/2024 06:40:00,23.271,,,,
420,07/28/2024 06:50:00,23.271,,,,
421,07/28/2024 07:00:00,23.324,,,,
422,07/28/2024 07:10:00,23.314,,,,
423,07/28/2024 07:20:00,23.367,,,,
424,07/28/2024 07:30:00,23.389,,,,
425,07/28/2024 07:40:00,23.389,,,,
426,07/28/2024 07:50:00,23.410,,,,
427,07/28/2024 08:00:00,23.432,,,,
428,07/28/2024 08:10:00,23.389,,,,
429,07/28/2024 08:20:00,23.410,,,,
430,07/28/2024 08:30:00,23.410,,,,
431,07/28/2024 08:40:00,23.399,,,,
432,07/28/2024 08:50:00,23.378,,,,
433,07/28/2024 09:00:00,23.399,,,,
434,07/28/2024 09:10:00,23.389,,,,
435,07/28/2024 09:20:00,23.442,,,,
436,07/28/2024 09:30:00,23.517,,,,
437,07/28/2024 09:40:00,23.571,,,,
438,07/28/2024 09:50:00,23.657,,,,
439,07/28/2024 10:00:00,23.753,,,,
440,07/28/2024 10:10:00,23.871,,,,
441,07/28/2024 10:20:00,24.000,,,,
442,07/28/2024 10:30:00,24.182,,,,
443,07/28/2024 10:40:00,24.322,,,,
444,07/28/2024 10:50:00,24.515,,,,
445,07/28/2024 11:00:00,24.697,,,,
446,07/28/2024 11:10:00,24.858,,,,
447,07/28/2024 11:20:00,25.008,,,,
448,07/28/2024 11:30:00,25.201,,,,
449,07/28/2024 11:40:00,25.373,,,,
450,07/28/2024 11:50:00,25.502,,,,
451,07/28/2024 12:00:00,25.502,,,,
452,07/28/2024 12:10:00,25.523,,,,
453,07/28/2024 12:20:00,25.502,,,,
454,07/28/2024 12:30:00,25.662,,,,
455,07/28/2024 12:40:00,25.791,,,,
456,07/28/2024 12:50:00,25.952,,,,
457,07/28/2024 13:00:00,26.081,,,,
458,07/28/2024 13:10:00,26.177,,,,
459,07/28/2024 13:20:00,26.284,,,,
460,07/28/2024 13:30:00,26.327,,,,
461,07/28/2024 13:40:00,26.413,,,,
462,07/28/2024 13:50:00,26.499,,,,
463,07/28/2024 14:00:00,26.628,,,,
464,07/28/2024 14:10:00,26.595,,,,
465,07/28/2024 14:20:00,26.671,,,,
466,07/28/2024 14:30:00,26.692,,,,
467,07/28/2024 14:40:00,26.821,,,,
468,07/28/2024 14:50:00,26.917,,,,
469,07/28/2024 15:00:00,27.003,,,,
470,07/28/2024 15:10:00,26.982,,,,
471,07/28/2024 15:20:00,26.949,,,,
472,07/28/2024 15:30:00,27.003,,,,
473,07/28/2024 15:40:00,27.089,,,,
474,07/28/2024 15:50:00,27.185,,,,
475,07/28/2024 16:00:00,27.336,,,,
476,07/28/2024 16:10:00,27.443,,,,
477,07/28/2024 16:20:00,27.443,,,,
478,07/28/2024 16:30:00,27.507,,,,
479,07/28/2024 16:40:00,27.550,,,,
480,07/28/2024 16:50:00,27.722,,,,
481,07/28/2024 17:00:00,27.722,,,,
482,07/28/2024 17:10:00,27.582,,,,
483,07/28/2024 17:20:00,27.507,,,,
484,07/28/2024 17:30:00,27.453,,,,
485,07/28/2024 17:40:00,27.400,,,,
486,07/28/2024 17:50:00,27.378,,,,
487,07/28/2024 18:00:00,27.346,,,,
488,07/28/2024 18:10:00,27.303,,,,
489,07/28/2024 18:20:00,27.260,,,,
490,07/28/2024 18:30:00,27.228,,,,
491,07/28/2024 18:40:00,27.164,,,,
492,07/28/2024 18:50:00,27.089,,,,
493,07/28/2024 19:00:00,27.057,,,,
494,07/28/2024 19:10:00,26.949,,,,
495,07/28/2024 19:20:00,26.831,,,,
496,07/28/2024 19:30:00,26.724,,,,
497,07/28/2024 19:40:00,26.649,,,,
498,07/28/2024 19:50:00,26.595,,,,
499,07/28/2024 20:00:00,26.542,,,,
500,07/28/2024 20:10:00,26.467,,,,
501,07/28/2024 20:20:00,26.402,,,,
502,07/28/2024 20:30:00,26.360,,,,
503,07/28/2024 20:40:00,26.284,,,,
504,07/28/2024 20:50:00,26.252,,,,
505,07/28/2024 21:00:00,26.188,,,,
506,07/28/2024 21:10:00,26.124,,,,
507,07/28/2024 21:20:00,26.091,,,,
508,07/28/2024 21:30:00,26.027,,,,
509,07/28/2024 21:40:00,25.995,,,,
510,07/28/2024 21:50:00,25.952,,,,
511,07/28/2024 22:00:00,25.909,,,,
512,07/28/2024 22:10:00,25.877,,,,
513,07/28/2024 22:20:00,25.823,,,,
514,07/28/2024 22:30:00,25.791,,,,
515,07/28/2024 22:40:00,25.770,,,,
516,07/28/2024 22:50:00,25.716,,,,
517,07/28/2024 23:00:00,25.695,,,,
518,07/28/2024 23:10:00,25.652,,,,
519,07/28/2024 23:20:00,25.641,,,,
520,07/28/2024 23:30:00,25.587,,,,
521,07/28/2024 23:40:00,25.587,,,,
522,07/28/2024 23:50:00,25.544,,,,
523,07/29/2024 00:00:00,25.523,,,,
524,07/29/2024 00:10:00,25.512,,,,
525,07/29/2024 00:20:00,25.480,,,,
526,07/29/2024 00:30:00,25.491,,,,
527,07/29/2024 00:40:00,25.469,,,,
528,07/29/2024 00:50:00,25.448,,,,
529,07/29/2024 01:00:00,25.426,,,,
530,07/29/2024 01:10:00,25.394,,,,
531,07/29/2024 01:20:00,25.373,,,,
532,07/29/2024 01:30:00,25.330,,,,
533,07/29/2024 01:40:00,25.276,,,,
534,07/29/2024 01:50:00,25.266,,,,
535,07/29/2024 02:00:00,25.233,,,,
536,07/29/2024 02:10:00,25.180,,,,
537,07/29/2024 02:20:00,25.190,,,,
538,07/29/2024 02:30:00,25.148,,,,
539,07/29/2024 02:40:00,25.126,,,,
540,07/29/2024 02:50:00,25.115,,,,
541,07/29/2024 03:00:00,25.115,,,,
542,07/29/2024 03:10:00,25.115,,,,
543,07/29/2024 03:20:00,25.073,,,,
544,07/29/2024 03:30:00,25.073,,,,
545,07/29/2024 03:40:00,25.051,,,,
546,07/29/2024 03:50:00,25.019,,,,
547,07/29/2024 04:00:00,24.965,,,,
548,07/29/2024 04:10:00,24.922,,,,
549,07/29/2024 04:20:00,24.890,,,,
550,07/29/2024 04:30:00,24.869,,,,
551,07/29/2024 04:40:00,24.847,,,,
552,07/29/2024 04:50:00,24.837,,,,
553,07/29/2024 05:00:00,24.826,,,,
554,07/29/2024 05:10:00,24.815,,,,
555,07/29/2024 05:20:00,24.804,,,,
556,07/29/2024 05:30:00,24.826,,,,
557,07/29/2024 05:40:00,24.815,,,,
558,07/29/2024 05:50:00,24.804,,,,
559,07/29/2024 06:00:00,24.815,,,,
560,07/29/2024 06:10:00,24.772,,,,
561,07/29/2024 06:20:00,24.686,,,,
562,07/29/2024 06:30:00,24.654,,,,
563,07/29/2024 06:40:00,24.601,,,,
564,07/29/2024 06:50:00,24.579,,,,
565,07/29/2024 07:00:00,24.547,,,,
566,07/29/2024 07:10:00,24.536,,,,
567,07/29/2024 07:20:00,24.526,,,,
568,07/29/2024 07:30:00,24.504,,,,
569,07/29/2024 07:40:00,24.483,,,,
570,07/29/2024 07:50:00,24.472,,,,
571,07/29/2024 08:00:00,24.504,,,,
572,07/29/2024 08:10:00,24.515,,,,
573,07/29/2024 08:20:00,24.504,,,,
574,07/29/2024 08:30:00,24.440,,,,
575,07/29/2024 08:40:00,24.397,,,,
576,07/29/2024 08:50:00,24.268,,,,
577,07/29/2024 09:00:00,24.064,,,,
578,07/29/2024 09:10:00,23.914,,,,
579,07/29/2024 09:20:00,23.861,,,,
580,07/29/2024 09:30:00,23.818,,,,
581,07/29/2024 09:40:00,23.818,,,,
582,07/29/2024 09:50:00,23.657,,,,
583,07/29/2024 10:00:00,23.507,,,,
584,07/29/2024 10:10:00,23.410,,,,
585,07/29/2024 10:20:00,23.421,,,,
586,07/29/2024 10:30:00,23.399,,,,
587,07/29/2024 10:40:00,23.367,,,,
588,07/29/2024 10:50:00,23.346,,,,
589,07/29/2024 11:00:00,23.314,,,,
590,07/29/2024 11:10:00,23.271,,,,
591,07/29/2024 11:20:00,23.249,,,,
592,07/29/2024 11:30:00,23.239,,,,
593,07/29/2024 11:40:00,23.249,,,,
594,07/29/2024 11:50:00,23.239,,,,
595,07/29/2024 12:00:00,23.271,,,,
596,07/29/2024 12:10:00,23.271,,,,
597,07/29/2024 12:20:00,23.303,,,,
598,07/29/2024 12:30:00,23.378,,,,
599,07/29/2024 12:40:00,23.485,,,,
600,07/29/2024 12:50:00,23.571,,,,
601,07/29/2024 13:00:00,23.614,,,,
602,07/29/2024 13:10:00,23.635,,,,
603,07/29/2024 13:20:00,23.678,,,,
604,07/29/2024 13:30:00,23.700,,,,
